country,issue,id,value,value_formatted,start_date_formatted,description,end_date_formatted
Indonesia,conversion-therapy,49,Not banned,Not banned,,No,
Indonesia,age-of-consent,27,Equal,Equal,"October 15, 2019","Equalized under the child protection act, for both homosexual and heterosexual activity is 18 years old . However under the Indonesian Penal code the minimum age of consent for heterosexual activity is minimum 15 years old, whereas the age of consent for homosexual activity is 18 years old. In 2019, the marriageable age for a heterosexual marriage is equalized to 19 years old for both males and females. ",
Iran,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"February 11, 1979","The punishment for homosexuality is currently death for men. (Unless if there is sex between a mature person and a minor; in which can the mature person will be killed while minor will receive up to 74 lashes. Same case applies for 2 minors.) For women, the punishment is up to 100 lashes.  Women with a certain number of repeat offenses can become subject to the death penalty as well.",
Iran,marriage,15,Not legal,Not legal,"February 11, 1979",Definition of marriage used follows from the Islamic definition of a union between a man and women. The marriage is prohibited and same-sex sexual activity is punished as stated in the Penal code.,
Iran,censorship,55,Other punishment,Other punishment,"January 1, 2013","Penal Code 2013, Art. 237 Other Homosexual Acts: <br />
Article 237 provides that same-sex affection  between men or between women other than ‘liwat’ or ‘tafkhiz’ (Anal Sex between men and frotting) , such as “kissing or touching as a result of lust”, is punishable with 31-74 lashes.<br />
<br />
In Iran, there are no laws restricting to discussing LGBT topics in the Internet. However those who are accused of Political dissidence or plotting to "" overthrow the Islamic Republic "" could be subjected to the death penalty as well, of which charges are also included with Homosexuality . An estimated number from the Amnesty International reports is that more than 5,000 Gay men and Lesbians have been executed since the 1979 Islamic Revolution. ",
Iran,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 1987",Became legal due to a fatwa from Khomeini in 1987. Trans individuals have the gender they identify with legally recognized and sex reassignment surgeries are publicly funded. ,
Iran,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Third gender here is not allowed.,
Iran,discrimination,20,No protections,No protections,"October 24, 1979","Formally, Iranian government believes every citizen to be heterosexual, stripping protection for LGBTQ+ community.",
Iran,employment-discrimination,43,No protections,No protections,"October 24, 1979","Homosexuality is illegal in Iran, so no protections for Employment exist if you are an LGBT person.",
Iran,housing-discrimination,47,No protections,No protections,"October 24, 1979","Homosexuality is illegal in Iran.<br />
No protections exist. ",
Iran,adoption,7,Illegal,Illegal,,No laws in place for same sex couples.,
Iran,military,18,Illegal,Illegal,,"Homosexuality is illegal in Iran, therefore homosexuals serving openly would also be illegal.",
Iran,blood,,na,N/A,,Homosexuality is illegal in Iran.,
Iran,conversion-therapy,49,Not banned,Not banned,,Widely preformed.,
Iran,age-of-consent,,na,N/A,"January 1, 1979","Homosexual sex is illegal. Also, sexual activity outside of marriage is illegal.",
Iraq,homosexuality,,ambiguous,Ambiguous,"July 19, 1969","Even though Iraq's Criminal Code doesn't mention homosexuality in its penal code, Articles such as 401 in the penal code can be used against LGBT community.",
Iraq,marriage,13,Unrecognized,Unrecognized,"January 1, 2003",Same-sex relationships are not recognized in Iraq.,
Iraq,censorship,53,Imprisonment as punishment,Imprisonment as punishment,,"Not known in Iraqi Kurdistan but LGBT people could be censored in Iraq under extensive public morality law namely , paragraph 215 , 220, 376, 401,402,403,404 and 408 of the Iraqi Penal code. ",
Iraq,changing-gender,,ambiguous,Ambiguous,,Unknown. Missing non binary options on documents.,
Iraq,non-binary-gender-recognition,,,,,,
Iraq,discrimination,20,No protections,No protections,,"According to the United States' Country Reports on Human Rights Practices for 2012, ""[Iraq] law prohibits discrimination based on race, disability, or social status, but it does not address the problem of sexual orientation or gender identity. Societal discrimination in employment, occupation, and housing based on sexual orientation, gender identity, and unconventional appearance was common.""",
Iraq,employment-discrimination,43,No protections,No protections,,"There are no employment discrimination protection for LGBT people in Iraq.<br />
<br />
According to the United States' Country Reports on Human Rights Practices for 2012, ""[Iraq] law prohibits discrimination based on race, disability, or social status, but it does not address the problem of sexual orientation or gender identity. Societal discrimination in employment, occupation, and housing based on sexual orientation, gender identity, and unconventional appearance was common.""",
Iraq,housing-discrimination,47,No protections,No protections,,"There are no housing discrimination protection for LGBT people in Iraq.<br />
<br />
According to the United States' Country Reports on Human Rights Practices for 2012, ""[Iraq] law prohibits discrimination based on race, disability, or social status, but it does not address the problem of sexual orientation or gender identity. Societal discrimination in employment, occupation, and housing based on sexual orientation, gender identity, and unconventional appearance was common.""",
Iraq,adoption,5,Single only,Single only,,Only single because no other laws in place.,
Iraq,military,18,Illegal,Illegal,"January 1, 2007",The Military penal law No. 19 2007 prohibits its men from engaging Homosexual acts.,
Iraq,blood,40,Banned (1-year deferral),Banned (1-year deferral),,Under recent changes.,
Iraq,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Iraq,age-of-consent,,ambiguous,Ambiguous,"January 1, 1969","According to the Iraq Penal Code of 1969, the age of consent is 18, however, this only applies to heterosexual sex.",
Ireland,homosexuality,1,Legal,Legal,"January 1, 1993","Homosexuality was decriminalized in Ireland with the the passing of the Criminal Law (Sexual Offences) Act, 1993.",
Ireland,marriage,8,Legal,Legal,"November 16, 2015",The Thirty-fourth Amendment of the Constitution (Marriage Equality) Bill 2015 (bill no.5 of 2015),
Ireland,censorship,56,No censorship,No censorship,,"In Ireland, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Ireland,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","July 15, 2015","For adults over 18, individuals can change their legal gender without a surgery. However, for individuals between the age of 16-18, there is a ""route to recognition""",
Ireland,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"As per the Gender Recognition Act of 2015, residents of the Republic of Ireland can only change their legal gender marker to male or female. The Gender Recognition Act is written in binary terms of gender and there is no mention of non-binary identity in the act.",
Ireland,discrimination,19,Illegal,Illegal,"December 3, 2015","Ireland has removed their religious exceptions for anti-gay discrimination, making it completely illegal now.",
Ireland,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"March 29, 2011",Includes both sexual orientation and gender identity.,
Ireland,housing-discrimination,46,Sexual orientation only,Sexual orientation only,"January 1, 2000","Ireland's Employment Equality Act, 1998, and the Equal Status Act, 2000 outlawed discrimination on the basis of sexual orientation.",
Ireland,adoption,3,Legal,Legal,"April 4, 2015","As Same Sex Marriage is now fully legal, same sex couples can adopt children. One month before it became legal, same sex couples can also adopt children.",
Ireland,military,16,Legal,Legal,"January 1, 2007","Section 1.5 of Ireland's Defence Forces's ""Equality, Diversity, and Equal Status Policies"" state that ""the nine (9) grounds on which discrimination is prohibited are: Gender, marital status, family status, disability, sexual orientation, age, religion, race and membership of the Traveller community.""",
Ireland,blood,25,Legal,Legal,"November 28, 2022","Men who have sex with men will no longer have to wait four months before giving blood, as changes to who can donate blood come into effect today. Instead, individual assessments will now be made.",
Ireland,conversion-therapy,49,Not banned,Not banned,,"Conversion therapy is currently not banned in Ireland.<br />
Ireland has vowed to ban conversion therapy by 2024.",
Ireland,age-of-consent,27,Equal,Equal,"January 1, 1993","The age of consent in Ireland is 17 for heterosexual and homosexual sex. Section 2 of the Criminal Law (Sexual Offences) Act 1993 states: ""Subject to sections 3 and 5 of this Act, any rule of law by virtue of which buggery between persons is an offence is hereby abolished.""",
Isle of Man,homosexuality,1,Legal,Legal,"September 1, 1992",Homosexuality was decriminalised by the Sexual Offences Act 1992.,
Isle of Man,marriage,8,Legal,Legal,"July 22, 2016",Legalised by the Marriage and Civil Partnership Act 2016.,
Isle of Man,censorship,56,No censorship,No censorship,,"In Isle of Man, there are no laws restricting to discussion or promotion of LGBTQ+ topics.",
Isle of Man,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 1, 2009",The right to change legal gender was introduced by the Gender Recognition Act 2009. ,
Isle of Man,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Petitions are being created to make this change ,
Isle of Man,discrimination,19,Illegal,Illegal,"January 1, 2019","The Equality Act 2017, which became law in 2019, provided comprehensive protection from discrimination.",
Isle of Man,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"September 1, 2006","Employment discrimination was banned by the Employment Act 2006, and further enhanced by the Equality Act 2017.",
Isle of Man,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2019","The Equality Act 2017, which became law in 2019, provided comprehensive protection from discrimination.",
Isle of Man,adoption,3,Legal,Legal,"January 1, 2011",The Civil Partnership Act 2011 enabled adoption for same-sex couples. ,
Isle of Man,military,16,Legal,Legal,,"As a British Crown Dependency, the Isle of Man does not have it’s own military, and relies on the United Kingdom for defence.",
Isle of Man,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,"In 2014 this position was reviewed but found that the blood bank needed to address a number of issues before they could consider changing the donor selection criteria.<br />
<br />
In August 2022, the government explained they aim to update the law in early 2023.",
Isle of Man,conversion-therapy,48,Banned,Banned,"August 6, 2021",The Sexual Offences and Obscene Publications Act was revised to ban any therapy that attempts to change or suppress a person’s sexual orientation or gender identity.,
Isle of Man,age-of-consent,27,Equal,Equal,"January 1, 2006",Sexual Offences (Amendment) Act 2006 updated the 1992 Act to bring the age of consent for all into alignment.,
Israel,homosexuality,1,Legal,Legal,"January 1, 1988",LGBT people regardless of gender are allowed to engage in such acts once old enough according to the law,
Israel,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"November 6, 2006","Gay marriage pending, civil unions. As well as unregistered cohabitation.",
Israel,censorship,56,No censorship,No censorship,,"In Israel, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Israel,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 21, 2015",Israelis can now change their legal gender without sex-reassignment surgery as ordered by the Supreme Court,
Israel,non-binary-gender-recognition,,,,,,
Israel,discrimination,19,Illegal,Illegal,"January 1, 1992",Maintains religious exemptions.,
Israel,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"January 1, 1992",People are protected from being discriminated against based on sexuality ,
Israel,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 1992",Under the Human Rights Law.,
Israel,adoption,3,Legal,Legal,"January 1, 2008","The High Court ruled that same sex couples can adopt, but in practice priority is given to opposite sex couples.",
Israel,military,16,Legal,Legal,"January 1, 1992",Homosexuals can serve openly in all branches of the military.,
Israel,blood,25,Legal,Legal,"April 1, 2018",A more complex testing process is in place for MSM donations.,
Israel,conversion-therapy,48,Banned,Banned,"July 23, 2020",Conversion Therapy is banned in Israel,
Israel,age-of-consent,27,Equal,Equal,"May 14, 1948","The age of consent in Israel is 16 for male-male, female-female, and male-female sex.",
Italy,homosexuality,1,Legal,Legal,"January 1, 1890",No laws against homosexual relationships anywhere in Italy's Penal Code,
Italy,marriage,33,Civil unions,Civil unions,"May 11, 2016","Italy's parliament has backed same-sex civil unions. MPs in the lower house voted 369-193 for the government, ensuring that the civil unions bill will become law. Same sex marriage pending.",
Italy,censorship,56,No censorship,No censorship,,"In Italy, there are no laws restricting to discussion or promotion of LGBTQ+ topics.",
Italy,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","July 23, 2015",A Supreme Court decision overruled the surgery requirement to change one's legal gender.,
Italy,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"Italy does not yet legally recognize non-binary identities.<br />
<br />
However, a breaking decision on March 7, 2022, had the Italian court rule in favor of a non-binary person to have their gender recognized.<br />
<br />
They are currently the only example of this recognition.",
Italy,discrimination,32,Illegal in some contexts,Illegal in some contexts,"July 9, 2003",Only discrimination in workplace banned.,
Italy,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"July 9, 2003",Discrimination protection is afforded on the grounds of sexual orientation,
Italy,housing-discrimination,47,No protections,No protections,"July 9, 2003","Currently, only employment discrimination is in place.",
Italy,adoption,,ambiguous,Ambiguous,"June 26, 2019","Adoption and foster care are regulated by the Legge 184/1983. Adoption is in principle permitted only to married couples who must be of the opposite sex. According to Italian law, there are no restrictions on foster care. In a limited number of situations, the law provides for ""adoption in particular cases"" by a single person, however, and this has been interpreted by some courts, including on the appeal court level, to include the possibility of stepchild adoption for unmarried (opposite-sex and same-sex) couples.",
Italy,military,50,"Lesbians, gays, bisexuals permitted, transgender people banned","Lesbians, gays, bisexuals permitted, transgender people banned","December 22, 1947","Until 1986, ""sexual deviance"" was a reason for exclusion for military service. At that time, some men claimed to be homosexual to avoid the draft. Lesbians have never been banned from the Italian military since women were first allowed to serve in 2000. Since 2010, discrimination against gays and lesbians in military service is banned, but the situation for transgender people is unclear. The organization Polis Aperta estimates that 5 to 10% of Italians in uniformed service (military or police) are LGB. Despite the ban on discrimination, some service personnel unfortunately face harassment or violence because of their sexual orientation. Unfortunately transgenders have not yet gained the right to military service in Italy ",
Italy,blood,25,Legal,Legal,"January 1, 2001",Italy uses a risk-based donor selection system that treats MSM and heterosexual partners equally. ,
Italy,conversion-therapy,,ambiguous,Ambiguous,"January 1, 2013","There is no explicit ban. However, the national psychological association officially stated in 2013 that conversion therapy goes strictly against its code of ethics and therefore is not allowed",
Italy,age-of-consent,27,Equal,Equal,,Age of consent: 14,
Jamaica,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","January 1, 1864","Female same-sex encounters are not explicitly outlawed.  However, all individuals (male/female) are prohibited from buggery (anal sex) with another individual.  Punishable by up to 10 years imprisonment with or without hard labor.  (Clause 76 of source)  All male-male sexual encounters are prohibited under law.  Punishment of up to 7 years imprisonment with or without hard labor. (Clause 77 or source). Decriminalization pending.",
Jamaica,marriage,15,Not legal,Not legal,"April 7, 2011","Constitutional Ban. In 2011, the Parliament passed The Charter of Fundamental Rights and Freedoms (Constitutional Amendment) Act, 2011 which explicitly banned same-sex marriage and any other kind of union to be recognized in Jamaica.",
Jamaica,censorship,56,No censorship,No censorship,,"In Jamaica, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Jamaica,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,It is preformed for who need it. Missing non binary options on documents.,
Jamaica,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Missing non-binary options.,
Jamaica,discrimination,20,No protections,No protections,"August 6, 1962",No protection exists for LGBTQ+ individuals,
Jamaica,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"January 1, 2004",Section 13(1)(9) of the Staff Orders for the Public Service (2004) requires that public service employees shall be treated fairly and equitably without discrimination based on sexual orientation.,
Jamaica,housing-discrimination,47,No protections,No protections,"August 6, 1962",Homosexuality is illegal there. A cop in Jamaica said that conditions for lgbt were improving.,
Jamaica,adoption,5,Single only,Single only,"October 6, 2017",Full Legalization under the 2018 IACHR Ruling. No laws in place for same sex couples.,
Jamaica,military,16,Legal,Legal,,No laws criminalizing or restricting service.,
Jamaica,blood,25,Legal,Legal,,,
Jamaica,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Jamaica,age-of-consent,,na,N/A,,Homosexuality is illegal.,
Japan,homosexuality,1,Legal,Legal,"January 1, 1881","Anal sodomy was decriminalized in 1881 when the provision was dropped from Japan's Penal Code. It was eliminated by supervision of Gustave Boissonade, a French legal scholar who served as an advisor to develop the legal system in Japan.",
Japan,marriage,,varies,Varies by Region,"September 9, 2018",Civil unions in some cities. Nationwide civil unions and gay marriage pending.,
Japan,censorship,56,No censorship,No censorship,,"In Japan, there are no laws restricting to discussion or promotion of LGBTQ+ topics.",
Japan,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2004","Law 111 gave unmarried transgender citizens over the age of 22 with no children under the age of 20 the option to legally change their gender, only after undergoing sex-reassignment surgery. ",
Japan,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"Non-binary gender is not legally recognized in Japan.<br />
<br />
However, the city of Yokosuka recognizes the relationships of people of all genders, including ""x-gender"", the common term for non-binary in Japan.",
Japan,discrimination,19,Illegal,Illegal,"September 9, 2018",The Japanese Constitution promises equal rights to all and this is widely interpretted as extending to LGBT citizens.,
Japan,employment-discrimination,,varies,Varies by Region,"January 1, 2008","In a 2008 report by the UN Human Rights Committee, they expressed concern about discrimination against LGBT people in several areas, including employment. Employement Discrimination protections only in Tokyo and Ibaraki.",
Japan,housing-discrimination,47,No protections,No protections,,"In a 2008 report by the UN Human Rights Committee, they expressed concern about discrimination against LGBT people in several areas, including housing. According to Article 23(1) of Japan’s Public Housing Law, it only applies to married and unmarried different-sex couples. However, in October of 2012, the Japanese government stated that Article 23(1) was abolished and, therefore, same-sex partners were no longer excluded.<br />
<br />
However, the Human Rights Committee report states that in reality, ""municipalities decide who can rent public houses under the amended Public Housing Law and few municipal policies allow same-sex couples to qualify. Thus, in practice same-sex couples remain excluded from public housing.""",
Japan,adoption,,ambiguous,Ambiguous,,"The US State Department states: ""there are no laws regulating or addressing same-sex couples adopting in Japan."" <br />
It was reported  in 2016 that many same-sex couples have been rejected by public authorities and are told “Children will never be fostered” by same-sex couples and “couples of friends are not accepted.”<br />
There is however one documented case from 2016 of same-sex foster parents in Osaka.",
Japan,military,16,Legal,Legal,"May 3, 1947",Japan has a Self Defense Force in place of a traditional military. There is no specific policy either banning or encouraging LGBT participation in the Self Defense Forces. Research by Sabine Fruhstuck has shown that many Japanese do not object to open LGBT service in the military provided it does not interfere with their performance.,
Japan,blood,41,Banned (6-month deferral),Banned (6-month deferral),"April 1, 2011",Red Cross Japan reduces deferral for high HIV risk individual from 12 months to 6 months.,
Japan,conversion-therapy,49,Not banned,Not banned,,There are no laws banning conversion therapy in Japan.,
Japan,age-of-consent,27,Equal,Equal,"May 3, 1947",The national age of consent is 13 for both same-sex couples and opposite-sex couples. Cities and prefectures may set higher ages of consent.,
Jordan,homosexuality,1,Legal,Legal,"January 1, 1951","Homosexual activity has been legal in Jordan since 1951, however, the Penal Code includes vague provisions around ""morality"" and ""indecent acts"" that could be used to target LGBTQ+ people.<br />
<br />
In 2014, for example, Jordan authorities arrested 10 gay men and women who were holding a reception at a party hall. A security official said it was to ""prevent a disturbance of the peace"" but did not elaborate.<br />
<br />
Public opinion data shows that homosexuality is widely seen as unacceptable.",
Jordan,marriage,13,Unrecognized,Unrecognized,,LGBT people have to come out of the closet and achieve equality for this to be legalized.,
Jordan,censorship,53,Imprisonment as punishment,Imprisonment as punishment,,"In Jordan, the government's Media Commission has used court orders to prohibit distribution of books that ""violate public norms and values"", which includes those that promote homosexuality.",
Jordan,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery",,"In Jordan, Medical Responsibility Law is legal about who can undergo sex reassignment surgery.",
Jordan,non-binary-gender-recognition,,,,,,
Jordan,discrimination,20,No protections,No protections,"January 1, 1952",No protection exist within the constitution for sexual orientation and gender identity,
Jordan,employment-discrimination,43,No protections,No protections,"January 1, 1952",No protections in the Constitution for LGBT People.,
Jordan,housing-discrimination,47,No protections,No protections,"January 1, 1952",,
Jordan,adoption,5,Single only,Single only,,Same sex couples are not allowed to adopt.,
Jordan,military,17,"Don't Ask, Don't Tell","Don't Ask, Don't Tell",,LGBTQ+ personel are not asked about their sexuallity to serve Jordan's milittary,
Jordan,blood,25,Legal,Legal,,No restrictions according to the American Red Cross. As well as blood mirror,
Jordan,conversion-therapy,49,Not banned,Not banned,,Conversation therapy is not banned.,
Jordan,age-of-consent,27,Equal,Equal,,"Jordan has reduced the age of consensual relationships to 16, which is the same for heterosexuals.",
Kazakhstan,homosexuality,1,Legal,Legal,"July 16, 1997",,
Kazakhstan,marriage,14,Unregistered cohabitation,Unregistered cohabitation,,"However, if a homosexual turns out to have a partner, adoption is illegal for them",
Kazakhstan,censorship,56,No censorship,No censorship,,"In Kazakhstan, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Kazakhstan,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2003","Since 2003, Transgender individuals have been allowed to change legal gender in Kazakhstan. People who wanted to change their gender had to receive a diagnosis of ""gender identity disorder"" involving several medical tests and a 30-day psychiatric evaluation. In 2011, new guidelines were established and allowed change to identity documents only after sex reassignment surgery, physical and psychiatric medical examinations, hormone therapy and sterilization. Additionally, people under 21 are not allowed to change their gender on their official identity documents.",
Kazakhstan,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"Kazakhstan lacks a third gender option, and has yet to do so ",
Kazakhstan,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2022",Discrimination in employment is illegal in Kazakhstan since 2022,
Kazakhstan,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2022",Discrimination in employment is illegal in Kazakhstan ,
Kazakhstan,housing-discrimination,,ambiguous,Ambiguous,,"Even though it is not strictly prohibited by law, according to the constitution, any kind of discrimination is illegal in Kazakhstan ",
Kazakhstan,adoption,3,Legal,Legal,,Same-sex adoption is legal either by single homosexuals or by married couples from different countries,
Kazakhstan,military,16,Legal,Legal,"January 1, 2022","The ministry of Defense of the Republic of Kazakhstan in 2022, said in an interview that no one is banned from serving in the military because of their sexual orientation.",
Kazakhstan,blood,25,Legal,Legal,,No restrictions.,
Kazakhstan,conversion-therapy,,ambiguous,Ambiguous,"December 25, 1991",It is neither banned nor legalized,
Kazakhstan,age-of-consent,27,Equal,Equal,"July 16, 1997","The law sets the age of consent as 16 for all sexual activities (""sodomy and ""lesbianism"" included explicitly.)",
Kenya,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","August 1, 1930","Article 162, 163 and 165 prohibits homosexuality and offender is punishable by from 5 to 14 years in prison. Female same-sexual activity not explicitly prohibited by law, LGBT women are not recognized. Decriminalization pending.",
Kenya,marriage,15,Not legal,Not legal,"November 29, 1902",Marriage defined as a union between a man and a woman,
Kenya,censorship,56,No censorship,No censorship,,"In Kenya, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Kenya,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery",,"Legal gender change is possible, but usually requires surgery.",
Kenya,non-binary-gender-recognition,59,Intersex only,Intersex only,"July 1, 2022",Intersex people can now be identified with an I gender marker on their birth certificate in Kenya. Genital surgery on intersex babies is now punishable by a 5000$ fine.,
Kenya,discrimination,20,No protections,No protections,"August 1, 1930","As homosexuality is currently illegal, discrimination against LGBT persons are legal.",
Kenya,employment-discrimination,,ambiguous,Ambiguous,"August 1, 1930",Some through human rights institute for sexual orientation only.,
Kenya,housing-discrimination,47,No protections,No protections,"August 1, 1930",,
Kenya,adoption,7,Illegal,Illegal,"March 1, 2002","Same-sex couples or even homosexuals are not allowed to adopt in Kenya. Chapter 141, Section 158 of Kenya's The Children Act states: ""An adoption order shall not be made if the applicant or, in the case of joint applicants, both or any of them [...] is a homosexual.""",
Kenya,military,18,Illegal,Illegal,,"The International Lesbian and Gay Association states that homosexuals are not allowed to serve in the Kenya Defence Forces, however, it's unclear if this is a written law and if so, when this law was passed.",
Kenya,blood,25,Legal,Legal,,,
Kenya,conversion-therapy,,ambiguous,Ambiguous,,Some fines. However widely practiced. ,
Kenya,age-of-consent,,na,N/A,,"The age of consent in Kenya is 18 years for heterosexuals. Since homosexual activity is illegal, there is no age of consent for homosexuals.",
Kiribati,homosexuality,31,"Male illegal, female legal","Male illegal, female legal",,"Sexual activity between two males is illegal in Kiribati, with up to 14 years in prison as punishment. Sexual activity between two females is legal. (Decriminalization pending)",
Kiribati,marriage,13,Unrecognized,Unrecognized,,Homosexuality is illegal in Kiribati. ,
Kiribati,censorship,56,No censorship,No censorship,,"In Kiribati, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Kiribati,changing-gender,22,Illegal,Illegal,,It is criminalized.,
Kiribati,non-binary-gender-recognition,,,,,,
Kiribati,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2015",Only in employment.,
Kiribati,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2015",Under article 107 2 b,
Kiribati,housing-discrimination,47,No protections,No protections,"January 1, 2015",,
Kiribati,adoption,5,Single only,Single only,,No laws in place.,
Kiribati,military,,na,N/A,,Kiribati does not have a military.,
Kiribati,blood,25,Legal,Legal,,,
Kiribati,conversion-therapy,49,Not banned,Not banned,,"According to the ILGA World, there's no ban on conversion therapy in Kiribati.",
Kiribati,age-of-consent,28,Unequal,Unequal,,for Homosexuality only.,
North Korea,homosexuality,,ambiguous,Ambiguous,"September 14, 1948","Contrary to popular belief, homosexuality is technically not against the law in North Korea, however, North Korea is a sexually conservative country, and this applies to sexuality anywhere on the spectrum. Overt shows of affection by anyone of any sexual orientation tend to be frowned upon. There are, however, claims that it is de facto illegal, but this has no official backing. (Date shown is the date of North Korean statehood.)<br />
<br />
While punishment is rare, it has been reported by The Korean Times that North Korea has executed a lesbian couple for being influenced by capitalism and bringing corruption of public morals.<br />
<br />
However, even though de jure homosexuality is not prohibited, de facto there were some cases of punishment for LGBT people",
North Korea,marriage,15,Not legal,Not legal,,"Depiction in media of affection in North Korea tend to be very rare, and no law against gay marriage exists in the constitution.",
North Korea,censorship,55,Other punishment,Other punishment,"September 14, 1948",Sharing something of a sexual content is Illegal in North Korea. Penalty is Unknown.,
North Korea,changing-gender,22,Illegal,Illegal,,No gender change laws in place but no laws against sex change are in place either.,
North Korea,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,No legal recognition of non-binary gender,
North Korea,discrimination,20,No protections,No protections,"September 14, 1948","North Korea executes LGBTQ+ Members, because they are ""influenced by capitalism"".",
North Korea,employment-discrimination,43,No protections,No protections,"September 14, 1948","North Korea executes LGBTQ+ Members, because they are ""influenced by capitalism"".",
North Korea,housing-discrimination,47,No protections,No protections,"September 14, 1948","North Korea executes LGBTQ+ Members, because they are ""influenced by capitalism"".",
North Korea,adoption,7,Illegal,Illegal,"January 1, 2020","As of 2020, same-sex couples could not legally adopt children in North Korea.",
North Korea,military,,ambiguous,Ambiguous,"September 14, 1948","Some secondary sources claim it is a ""Don't Ask Don't Tell"" situation. But, based on a North Korean propaganda film from the year 2000, male homosexuality may be against the law in the military, including for prisoners of war. Information is extremely limited, because North Korea heavily censors LGBT content.",
North Korea,blood,,na,N/A,,Not enough is known about North Korea to know their stance on blood bans.,
North Korea,conversion-therapy,,na,N/A,"September 14, 1948",No source about that.,
North Korea,age-of-consent,,na,N/A,,Not available ,
South Korea,homosexuality,1,Legal,Legal,,Homosexuality in Korea never had been illegal in whole history.,
South Korea,marriage,15,Not legal,Not legal,"August 15, 1948","There has been proposals to legalize gay marriage, but none have passed as of May 2022.",
South Korea,censorship,56,No censorship,No censorship,"January 1, 2003","There is no censorship of LGBTQ+ issues, topics, or events.",
South Korea,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","March 22, 2013",Transgender persons are permitted to change their gender without having had sexual reassignment surgeries.,
South Korea,non-binary-gender-recognition,,,,,,
South Korea,discrimination,32,Illegal in some contexts,Illegal in some contexts,"August 15, 1948",There are some LGBT anti-discrimination protections in South Korea.,
South Korea,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2016",Full discrimination protection including aggravated conditions since 2016.,
South Korea,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,All people of sexual orientation/gender identity are protected.,
South Korea,adoption,7,Illegal,Illegal,,No information about when adoption regulations went into effect.,
South Korea,military,,ambiguous,Ambiguous,,"Serving openly is possible, but legal difficulties and prosecution applies.",
South Korea,blood,40,Banned (1-year deferral),Banned (1-year deferral),,A deferral is applied after same-sex intercourse.,
South Korea,conversion-therapy,49,Not banned,Not banned,,Not criminalized anywhere in South Korea.,
South Korea,age-of-consent,27,Equal,Equal,,Age of consent is equal in South Korea.,
Kuwait,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","June 2, 1960",fine and up to 6 years in prison. Not enforced. Decimalization pending.,
Kuwait,marriage,15,Not legal,Not legal,,same sex marriage is not legal in kuwait according to the muslim shar'ia,
