country,issue,id,value,value_formatted,end_date_formatted,description,start_date_formatted
Japan,marriage,13,Unrecognized,Unrecognized,"September 9, 2018","Article 24 of the Japanese Constitution states that ""marriage shall be based only on the mutual consent of both sexes and it shall be maintained through mutual cooperation with the equal rights of husband and wife as a basis"".","May 3, 1947"
Japan,discrimination,20,No protections,No protections,"September 9, 2018","Japan does not have LGBT protections from discrimination in employment, housing, etc.","May 3, 1947"
Japan,blood,40,Banned (1-year deferral),Banned (1-year deferral),"April 1, 2011",Gay men in Japan are banned from donating blood following one (1) year after male-male sexual contact. Japanese Red Cross opposses this practice.,"January 1, 2005"
Jordan,age-of-consent,27,Equal,Equal,"September 8, 2018",Set age of consent and homosexaulity is legal.,"January 1, 1951"
Kazakhstan,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2022","Since 2003, Transgender individuals have been allowed to change legal gender in Kazakhstan. People who wanted to change their gender had to receive a diagnosis of ""gender identity disorder"" involving several medical tests and a 30-day psychiatric evaluation. In 2011, new guidelines were established and allowed change to identity documents only after sex reassignment surgery, physical and psychiatric medical examinations, hormone therapy and sterilization. Additionally, people under 21 are not allowed to change their gender on their official identity documents.","January 1, 2003"
Kazakhstan,discrimination,20,No protections,No protections,"January 1, 2022",No laws about discrimination,"December 25, 1991"
Kazakhstan,discrimination,19,Illegal,Illegal,"December 25, 1991",Only protections for gender identity and expression since 2014. Full discrimination protection since 2016.,
Kazakhstan,employment-discrimination,43,No protections,No protections,"January 1, 2022",There is no protections against discrimination in Kazakhstan.,
Kazakhstan,adoption,7,Illegal,Illegal,"December 16, 1991","Same-sex Adoption in Kazakhstan is Unknown, but if we interpret from Wikipedia, it might be illegal.",
Kenya,discrimination,20,No protections,No protections,"July 1, 2022","As homosexuality is currently illegal, discrimination against LGBT persons are legal.","August 1, 1930"
Kenya,military,16,Legal,Legal,"September 1, 2018",No laws restricting or criminalizing lgbt serving.,"August 1, 1930"
North Korea,marriage,15,Not legal,Not legal,,"Article 193 outlaws the creation, distribution or possession of ""decadent"" culture.","September 14, 1948"
South Korea,censorship,60,State-enforced,State-enforced,"January 1, 2003","The Government of South Korea practiced censorship of gay content websites from 2001 to 2003, through its Information and Communications Ethics Committee, an official organ of the Ministry of Information and Communication.","January 1, 2001"
South Korea,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","March 22, 2013",Transgender South Koreans are permitted to change their gender on all legal documents following gender reassignment surgery.,"June 22, 2006"
Kuwait,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","June 2, 1960","Imprisonment of up to 7 years. If the offender is an adult (>21) male who has sex with an individual less than 21 years old, imprisonment of up to 10 years.<br />
<br />
For female same sexual activity is legal.","June 2, 1960"
Kuwait,marriage,13,Unrecognized,Unrecognized,"September 19, 2018",Homosexuality is currently illegal.,"June 2, 1960"
Kuwait,censorship,53,Imprisonment as punishment,Imprisonment as punishment,"February 16, 2022","Mass arrests , people could be sent to deportation or imprisonment under public morality or Islamic Laws. <br />
<br />
LGBT cinema also censored publicly.",
Kuwait,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","October 15, 2021",As well documents can be changed. Missing non binary options.,
Kuwait,military,16,Legal,Legal,"September 1, 2018",No laws restricting service.,"January 1, 2018"
Kyrgyzstan,marriage,13,Unrecognized,Unrecognized,"September 18, 2018",Country just got rid of the constitutional ban on gay marriage.,"May 8, 1996"
Latvia,marriage,,ambiguous,Ambiguous,,The civil unions law was rejected. The judicial committee voted against continuation of its consideration. The next vote will take place on December 15th. This law wouldn’t take affect until 2026 at the latest.,"January 1, 2026"
Latvia,marriage,13,Unrecognized,Unrecognized,"January 1, 2022",Section 110 explicitly states marriage as being a union between a man and a woman.,"December 15, 2005"
Lebanon,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 28, 2014",Imprisonment of up to 1 year for sexual acts that go against the nature.,"March 1, 1943"
Lesotho,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","March 9, 2012","The Roman-Dutch law of the Cape Colony, including the sodomy offence, was applied to Basutoland (as Lesotho was then known) by a proclamation of the British High Commissioner in 1884 (exact date unknown).","January 1, 1884"
Liberia,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 1, 2018",1 year in prison under crime of sodamy. Not enforced. decriminalization proposed since 2012.,"July 19, 1976"
Liberia,marriage,13,Unrecognized,Unrecognized,"September 8, 2018",Homosexuality is currently illegal. ,"July 19, 1976"
Libya,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 19, 2018",up to 4 years in prison. Not enforced.  ,"November 18, 1953"
Libya,marriage,13,Unrecognized,Unrecognized,"September 19, 2018",Homosexuality is currently illegal.,"November 18, 1953"
Libya,military,16,Legal,Legal,"September 1, 2018",No laws criminalizing lgbt serving.,"November 18, 1953"
Liechtenstein,marriage,33,Civil unions,Civil unions,"September 9, 2018",Legalization pending. Required under 2018 EU ruling. ,"September 1, 2011"
Luxembourg,marriage,33,Civil unions,Civil unions,"June 18, 2014",,"January 1, 2004"
Luxembourg,adoption,7,Illegal,Illegal,"January 1, 2015",Not legal,
Malawi,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","September 9, 2018",8-14 years in prison. Not enforced since 2012. ,"April 1, 1930"
Malaysia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"September 5, 2018",Under sex discrimination and gender discrimination in employment only.,"January 1, 1826"
Maldives,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 9, 2018",1 to 9 years in prison and 10 to 30 whipping. Not enforced.,"March 6, 2017"
Malta,marriage,33,Civil unions,Civil unions,"September 1, 2017","Malta President Marie-Louise Colerio Preca signed a civil unions bill into law on April 15, 2014. The Labor Party ruled in favor of the bill at 37 to 0, while 30 abstained. According to a Eurostat poll, 80% of Maltese were said to oppose the law's provisions.","April 15, 2014"
Malta,marriage,13,Unrecognized,Unrecognized,"April 15, 2014",,
Malta,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","March 1, 2015","Surgery, sterilization and a diagnosis of mental illness is required before legally change gender can be changed.",
Malta,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 1, 2022","MSMs can now donate blood, but with a 1-year deferral. Deferral may be trimmed down to 4 months.","September 20, 2019"
Malta,conversion-therapy,,ambiguous,Ambiguous,"December 1, 2019","The only person to offer a form of conversion therapy is Gordon Manche, a pastor. This is not illegal, but nor is it legal. Since it mainly involves just counselling then it is fine in the eyes of the current law.",
Mauritania,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 8, 2018",2 years in prison and fine and stoning. Legal in some states. death penalty rarely enforced. Changes pending.,"July 9, 1983"
Mauritania,age-of-consent,,na,N/A,"July 9, 1983","Due to homosexuality being ilegal, there is no age of consent for homosexuals.",
Mauritius,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"July 2, 2018",All discrimination is illegal.,"January 1, 2008"
Mexico,homosexuality,,ambiguous,Ambiguous,"January 1, 2001",Legalized during French occupation; enduring acceptance lacks protection against open homosexual displays. ,"January 1, 1871"
Mexico,homosexuality,1,Legal,Legal,"January 1, 2014","The concept has never been illegal in Mexico, but in the times of the colony by Spain, sodomy was a grave felony. Those proven guilty were burned by the Holy Inquisition. In the independent period homosexuality was an administrative felony, that was charged by the police at discretion. This practice has been waning since the arrival of the modern democracy at the beginning of the 21st century.<br />
<br />
With the broad reform about human rights the protection of sexual preference was included in the federal constitution in 2011.<br />
<br />
http://dof.gob.mx/nota_detalle.php?codigo=5194486&fecha=10/06/2011<br />
",
Mexico,marriage,,varies,Varies by Region,"October 27, 2022",23/31 States of Mexico (and Mexico City) recognize same-sex marriage.,"January 1, 2010"
Mexico,marriage,15,Not legal,Not legal,"December 20, 2009",,
Mexico,marriage,,varies,Varies by Region,"January 1, 2017","Some states in Mexico is legally performed the same- sex marriage<br />
<br />
Some states, Same-sex marriage celebrated via judicial proceedings / court order.",
Mexico,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 28, 2022",Only in Mexico City.,"March 13, 2003"
Mexico,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 1, 2008","Only Mexico City, Nayarit and Michoacan transgender people can change document without surgery not required.",
Mexico,military,,ambiguous,Ambiguous,"January 1, 2012","No laws seek to identify or prevent the enrollment of gays in armed services. High prevalence of harassment, encouraged leave, and dishonorable discharge if interpreted as homosexual.",
Moldova,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 12, 2018",Required legalization under EU Ruling. Gay union legalization pending.,"January 1, 1994"
Moldova,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 8, 2018",Missing non binary options on documents.,"January 1, 2011"
Moldova,discrimination,19,Illegal,Illegal,"April 15, 2018",Full discrimination protections.,"January 1, 2013"
Monaco,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 7, 2018",Required legalization under EU ruling. Gay marriage legalization and Gay unions pending. Under EU law.,"June 24, 1793"
Monaco,discrimination,32,Illegal in some contexts,Illegal in some contexts,"August 4, 2018",Anti-discrimination in hate speech and violence. As well incitement to hate tread.  ,"January 1, 2005"
Monaco,adoption,5,Single only,Single only,"September 9, 2018",No laws in place in for same sex couples. Legalization pending.,"January 1, 2005"
Mongolia,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 1, 2002",,
Morocco,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 7, 2018",six months to 3 years in prison and fine. in the country if lesbians engage in sex it is widely accepted. Not enforced. ,"November 26, 1962"
Morocco,discrimination,20,No protections,No protections,"August 5, 2018",Morocco just launched a gay magazine in 2010. The first gay Moroccan came out.,"January 1, 2010"
Mozambique,homosexuality,,ambiguous,Ambiguous,"June 29, 2015","Mozambique's penal code included a clause against against individuals ""who habitually engage in vices against nature,"" however, there had been no known prosecutions under the clause.","January 1, 1975"
Myanmar,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"January 1, 2016","Section 377 prescribes life in prison; or 2 to 10 years in prison and fine. <br />
<br />
Date represents British colonization of Burma (Myanmar).","January 1, 1886"
Namibia,discrimination,20,No protections,No protections,"October 21, 2021","Discrimination is legal (as there are no provisions) and the date provided is the date that the constitution of the country is written. Discrimination protection is only granted for sex, race, social and economic conditions.","March 12, 1990"
Namibia,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"September 18, 2017",just recently added protection,"March 12, 2004"
Nauru,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","June 3, 2016",Up to 14 years in prison with hard labour,"July 1, 1921"
Nepal,marriage,,ambiguous,Ambiguous,"October 23, 2017",Some ceremonies performed but no official recognition,
Nepal,discrimination,19,Illegal,Illegal,"September 21, 2016",,"January 1, 2016"
Netherlands,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"May 5, 1945",During the German occupation of the Netherlands during World War II homosexuality was criminalized by Paragraph 175.,"May 15, 1940"
Netherlands,homosexuality,1,Legal,Legal,"May 15, 1940",,"January 1, 1815"
Netherlands,homosexuality,1,Legal,Legal,"January 1, 1815",1811 French invasion invalidated anti-sodomy statutes. In 1815 the Netherlands declared its independence and did not reintroduce anti-sodomy laws.,"January 1, 1811"
Netherlands,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"January 1, 1811",Uncertain about punishments for homosexuality in the Dutch Republic.,"January 1, 1730"
Netherlands,marriage,33,Civil unions,Civil unions,"September 12, 2000",,"January 1, 1990"
Netherlands,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","December 18, 2013",Dutch Civil Law provides that in order for a citizen to change their legal gender they must first undergo gender re-assignment surgery.,"January 1, 1985"
Netherlands,discrimination,19,Illegal,Illegal,"February 1, 2023",Equal Rights Act of 1993 banned discrimination on the basis of sexual orientation or gender identity. Hate crimes in the Netherlands have been rising  in recent years.,"January 1, 1993"
Netherlands,blood,52,Banned (3-month deferral),Banned (3-month deferral),"February 1, 2019",Deferral changed from 12 months to 4 months.,"October 28, 2015"
Netherlands,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 1, 2021",12-month deferral for males who have sex with male,"October 28, 2015"
Netherlands,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"October 28, 2015",Date is when the United States banned gay male blood donors.,"January 1, 1977"
Netherlands,age-of-consent,28,Unequal,Unequal,"January 1, 1978",Age of consent for homosexual relationships was 21 while for heterosexual relationships the age of consent was 16.,"January 1, 1911"
New Caledonia,changing-gender,,ambiguous,Ambiguous,"September 1, 2018",No laws in place. Missing non binary options on documents.,
New Zealand,marriage,33,Civil unions,Civil unions,"August 18, 2013","The Civil Union Act 2004 received Royal assent on 13 December 2004, allowing for same-sex couples to enter civil unions when it commenced on 13 April 2005.","April 13, 2005"
New Zealand,marriage,15,Not legal,Not legal,"April 13, 2005",No form of civil unions or same-sex marriage were legal prior to 13 April 2005.,
New Zealand,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,"Law was changed under the Births, Deaths, Marriages, and Relationships Registration Act 2021 which comes into effect on 15 June 2023. This will allow gender self-identification and mean that you will not need to go through the Family Court to change your nominated sex/gender, and you will not require evidence of medical treatment to do so either.","June 15, 2023"
New Zealand,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","February 10, 2020",Legal,"June 1, 2008"
New Zealand,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","October 19, 2017",,"June 1, 2008"
New Zealand,blood,40,Banned (1-year deferral),Banned (1-year deferral),"November 30, 2020","After a review, the 5 years deferral was reduced to 12 months deferral.","January 1, 2014"
New Zealand,blood,39,Banned (5-year deferral),Banned (5-year deferral),"January 1, 2014",No specific date in March. NZBS lists March 2009 on the linked page. NZBS performed a review in 2013 and results are expected to be public shortly.,"March 1, 2009"
Nicaragua,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 8, 2018",Gay Marriage and Gay Unions pending.  Required by 2018 IACHR Ruling. ,"April 30, 1987"
Niger,military,16,Legal,Legal,"September 5, 2018",No restrictions on lgbt serving.,"August 3, 1960"
Nigeria,marriage,15,Not legal,Not legal,"January 7, 2014",,"December 31, 1914"
North Macedonia,marriage,15,Not legal,Not legal,"January 20, 2015",Macedonia passed a constitutional amendment explicitly stating marriage as a union between a man and a woman ,
North Macedonia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"September 5, 2018",Full discrimination protections pending.,"January 1, 2010"
North Macedonia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2010",,"January 1, 2008"
North Macedonia,discrimination,20,No protections,No protections,"May 14, 2020","North Macedonia repealed the law on prevention of and protection against discrimination, meaning that LGBT people are no longer a protected group.",
Norway,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","April 21, 1972","Section 213 of the Norwegian Penal Code defined sexual intercourse between men to be a crime with the punishment being up to one year of imprisonment.<br />
The law did not include homosexual activity between women.",
Norway,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","July 1, 2016","Changing the gender status was legal, but required gender-reaffirming surgery.",
Norway,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"March 31, 2017",Indefinitely banned.,
Oman,changing-gender,,ambiguous,Ambiguous,"September 1, 2018",No information on this.,"January 1, 2016"
Pakistan,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 8, 2018",2 to less than 10 years in prison. Not enforced. Decriminalization pending. Legal in Punjab.,"October 6, 1880"
Palau,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","October 16, 2014",Up to 10 years prison,
Panama,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 6, 2018","Court ruling pending on legalization of gay unions, Marriage.","October 11, 1972"
Panama,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","March 16, 2018",Not required since 2016. Missing non binary option on documents.,"July 31, 2006"
Papua New Guinea,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 8, 2018",3 to 14 years in prison. Not enforced.,"January 1, 2002"
Paraguay,discrimination,20,No protections,No protections,"January 1, 2016","In 2007, senators Carlos Filizzola and Miguel Abdón Saguier presented the “Bill Against All Forms of Discrimination”, which presents sexual orientation and gender identity as protected categories. In November 2014, after 7 years of being presented, the Senate rejected and definitively archived the project, with 21 votes against, 17 in favor, one abstention and six absences.<br />
","November 23, 2014"
Paraguay,discrimination,20,No protections,No protections,"November 23, 2015","There are laws and decrees that mention the prohibition of discrimination regarding sexual orientation and gender identity.<br />
Cases of discrimination have been reported that have been ignored by the authorities.",
Paraguay,adoption,7,Illegal,Illegal,"April 17, 2020","Adoption Law No. 1136 allows adoption by single persons.<br />
<br />
There are no laws that explicitly prohibit people from adopting based on their sexual identity.<br />
<br />
Paraguay is a ""pro-family"" country, so it is constant in not allowing non-traditional families to adopt.",
Paraguay,military,50,"Lesbians, gays, bisexuals permitted, transgender people banned","Lesbians, gays, bisexuals permitted, transgender people banned","June 17, 2010","There is no official prohibition that prevents the entry of lesbians, gays and bisexuals to the ranks of the Armed Forces and the National Police.<br />
<br />
Transgender people are not prohibited in the army but are admitted based on censorship and prior warnings.",
Peru,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 5, 2018",Gay Marriage Pending and Unions. Gay Unions might be legal in 2018.,"October 31, 2006"
Peru,changing-gender,22,Illegal,Illegal,"October 15, 2016",Legal change of gender is currently illegal,
Peru,discrimination,19,Illegal,Illegal,"January 1, 2017",Legislative Decree #1323 states that crimes motivated by intolerance or discrimination including sexual orientation and gender identity will receive stronger penalizations. ,"January 7, 2017"
Peru,discrimination,20,No protections,No protections,"May 1, 2017","Even though the constitution states that people should not be discriminated due to ""any reasons"", there are no specific provision for sexual orientations or gender identities.","October 31, 1993"
Peru,discrimination,19,Illegal,Illegal,"September 15, 2016",Under 2016 revision of their criminal code.,
Philippines,marriage,15,Not legal,Not legal,"August 4, 1988",The Philippines does not recognize any form of same-sex union under any circumstance.  The Philippine Supreme Court has also denied and dismissed the petition to legalize same-sex marriage.,"January 1, 1987"
Philippines,marriage,15,Not legal,Not legal,"January 1, 1987",The Philippines does not recognize nor provide any legal rights for same-sex marriages nor unions in any way. The Philippine Supreme Court rejects a petition to legalize same-sex marriage.,
Philippines,changing-gender,22,Illegal,Illegal,"January 1, 2007",Filipinos who undergo gender re-assignment surgery are not permitted to change their legal gender per a supreme court ruling in 2007.,
Philippines,discrimination,20,No protections,No protections,"September 16, 2003",Although certain regions of the Philippines have anti discrimination laws but they are not being widely and properly enforce nor followed. Though LGBT rights groups around the country demand the passing of the Equality Bill. ,"January 26, 2001"
Philippines,employment-discrimination,43,No protections,No protections,"January 1, 1987",Majority of Philippine companies and corporations are still majority against nor accepting towards LGBTQ+ people.  The Magna Carta ruling which took place still isn't being widely nor properly enforced in all parts if the Philippines.,
Pitcairn Islands,marriage,15,Not legal,Not legal,"May 15, 2015",Wasn't legal,"January 1, 2013"
Pitcairn Islands,adoption,3,Legal,Legal,"July 13, 2018",,"January 1, 2015"
Poland,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"January 1, 1945",LGBT people were persecuted by Nazi forces during the German occupation of the Second World War.,"September 1, 1939"
Poland,homosexuality,1,Legal,Legal,"September 1, 1939","Homosexuality is legal, even inside Poland's LGBT-free zones, and the penal code cannot be revised for each local government as Poland is not a federal state.","July 11, 1932"
Poland,homosexuality,,ambiguous,Ambiguous,"July 11, 1932","During the Second Polish Republic, same sex activity was not legislated against, but was considered taboo.","November 11, 1918"
Poland,homosexuality,2,Illegal (other penalty),Illegal (other penalty),"November 11, 1918","During the Partitions of Poland, the Polish state had ceased to exist and laws from other states were forced upon the lands. in 1945 Russia's penal code specified a punishment of forced resettlement to Siberia.","January 1, 1815"
Poland,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 6, 2018",Gay marriage and Gay Unions pending. Required legalization under EU ruling.,"January 1, 2012"
Poland,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 14, 2018",Under 2018 revision of the sex change law. Requires surgery. Missing non binary options on documents.,"November 17, 1964"
Poland,discrimination,19,Illegal,Illegal,"September 14, 2018",Full Discrimination protection ,"January 1, 2003"
Poland,adoption,7,Illegal,Illegal,"January 1, 2016",No source supplied,
Portugal,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","July 1, 2018",Individuals in Portugal can legally change their gender and name on their birth certificate.,"March 15, 2011"
Portugal,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"January 16, 2015",Sexual orientation was protected.,"January 1, 2003"
Portugal,adoption,7,Illegal,Illegal,"February 29, 2016",Same sex couples in Portugal were previously not allowed to adopt or foster children. Between 2013 and 2016 various bills were put forward and rejected by parliament.,
Romania,changing-gender,,ambiguous,Ambiguous,"January 1, 2015","Legislation about the procedures necessary for name changes refers to the obligation to get a final court decision before changing one’s sex. However, law and procedure are unclear beyond this and consequently people seeking to change their sex undergo a long and painful process.","January 1, 1996"
Russia,homosexuality,,varies,Varies by Region,"January 1, 1993","Although legal in most of Russia, in Chechnya there is a de facto criminalization of homosexuality and attacks against homosexuals are constantly ignored by the police. ",
Russia,censorship,54,Fine as punishment,Fine as punishment,"November 1, 2022","In 2013, Russia introduced a law known as ""for the Purpose of Protecting Children from Information Advocating for a Denial of Traditional Family Values"" (known worldwide as the ""gay propaganda law"") which prohibits the promotion of homosexual topics. According to the Russian government, this law is aimed to ""protect"" children from being exposed to homosexuality, since it goes against ""traditional family values."" Foreigners who break this law can be arrested and detained for up to 15 days (or fined up to 5,000 rubles) and then deported.","June 11, 2013"
Russia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2018",Transgender people are able to change their gender on identification documents after being issued a document from a health institution confirming the surgical requirements.,"November 15, 1997"
Russia,adoption,7,Illegal,Illegal,"July 2, 2013","Russian President Vladimir Putin signed a law on Wednesday banning the adoption of children by same-sex couples, as part of an increasingly conservative agenda the Kremlin is pursuing since his return to power.",
Russia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"April 16, 2008","On September 14, 2001, the Russian Ministry of Health announced that men who have sex with men would be considered part of the ""HIV high-risk groups,"" along with prostitutes and drug addicts.","September 14, 2001"
Rwanda,marriage,13,Unrecognized,Unrecognized,"May 26, 2003",No constitutional ban or statue making gay marriage illegal. ,
Saint Kitts and Nevis,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","August 29, 2022",Up to 10 years prison,
Saint Lucia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"March 8, 2022",Sexual orientation protection in Article 131 of the Labour code for employment.,"January 1, 2006"
Saint Lucia,employment-discrimination,43,No protections,No protections,"December 31, 2005",No protections until 2006,
Saint Lucia,housing-discrimination,47,No protections,No protections,"January 1, 2006",No protections are afforded to LGBT people in housing in Saint Lucia.,
Saint Pierre and Miquelon,conversion-therapy,49,Not banned,Not banned,"January 25, 2022",Conversion therapy ban pending.,
Saint Vincent and the Grenadines,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 6, 2018",Five to Ten years in prison and or fine. Not enforced. Decriminalization pending.,"January 1, 1990"
Samoa,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 5, 2018",5-7 years in prison under the crime of sodomy. Not enforced. Decriminalization pending.,"January 1, 1961"
Sao Tome and Principe,homosexuality,2,Illegal (other penalty),Illegal (other penalty),"January 1, 2012","Inherited from Portuguese colonial era (amended in 1954). Articles 70 and 71(4°) provide for the imposition of <br />
security measures on people who habitually practice <br />
acts against nature. The security measures may include: <br />
a bond of good behavior, being put on probation for a <br />
certain period, or even internment in a workhouse or <br />
agricultural colony (from 6 months to 3 years).","September 16, 1886"
Saudi Arabia,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),,Homosexuality is illegal,
Saudi Arabia,changing-gender,22,Illegal,Illegal,,Sharia Law prohibits crossdressing.,
Saudi Arabia,discrimination,20,No protections,No protections,"July 13, 2018",Discrimination is encouraged.,"September 23, 1932"
Saudi Arabia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,No laws against it but its Illegal to be LGBT in this country.,
Saudi Arabia,age-of-consent,28,Unequal,Unequal,"September 23, 1932",Homosexuality is illegal,
Senegal,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 19, 2018",One to five years in prison. Not enforced. Decriminalization pending.,"February 1, 1966"
Senegal,marriage,13,Unrecognized,Unrecognized,"September 7, 2018",Homosexuality is currently illegal.,"February 1, 1966"
Serbia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2019",-,
Sierra Leone,marriage,13,Unrecognized,Unrecognized,"August 1, 2018",Homosexuality is currently illegal.,"January 1, 1861"
Singapore,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","November 29, 2022","Offenders can face a penalty of imprisonment of up to 2 years.<br />
Penal Code, Chapter XVI, Article 377A (Decriminalization pending)",
Singapore,marriage,15,Not legal,Not legal,"August 21, 2022",Same-sex marriage is not legal in Singapore.,"September 8, 2018"
Singapore,marriage,13,Unrecognized,Unrecognized,"September 8, 2018",No laws in the legal system.,"January 1, 1999"
Singapore,censorship,,ambiguous,Ambiguous,"November 29, 2022","Local media often encourages ""familial social norms"", but LGBT film and media content are common and not banned, although it often warrants higher age ratings.",
Singapore,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 7, 2018",Requires surgery to changes documents. Missing non binary options on documents.,"January 24, 1996"
Singapore,adoption,5,Single only,Single only,"September 1, 2018",No laws for same sex couples.,"January 1, 1990"
Singapore,military,,ambiguous,Ambiguous,"January 1, 2017","Medically downgraded to a Physical Employment Status of C (PES C), and put through modified Basic Military Training. On graduation, they are deployed in a vocation which has no security risks, posted to non-sensitive units and given a security status which restricts their access to classified documents.",
Slovakia,changing-gender,,ambiguous,Ambiguous,"January 1, 2016","Legal, requirements ambiguously defined.",
Slovenia,marriage,33,Civil unions,Civil unions,"July 8, 2022","The civil unions act of Slovenia was just legalized on Feb 24, 2017. ","February 24, 2017"
Slovenia,marriage,9,Other type of partnership,Other type of partnership,"February 24, 2017","Same sex marriage was legalized by the parliament. However, this measure was defeated in a referendum on December 20th, 2015.","March 4, 2015"
Slovenia,marriage,9,Other type of partnership,Other type of partnership,"March 4, 2015",Registered partnership is available with very limited number of rights granted.,"July 25, 2006"
Slovenia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","July 5, 2018",Previously required surgery.,"February 4, 2011"
Slovenia,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"May 9, 2016",Sexual orientation only,"November 24, 1998"
Slovenia,housing-discrimination,46,Sexual orientation only,Sexual orientation only,"May 9, 2016",Sexual orientation only ,
Slovenia,adoption,6,Step-child adoption only,Step-child adoption only,"July 8, 2022","On June 16, 2011, the Slovenia National Assembly voted 43 to 38 in favor of repealing the previous law making adoption illegal for same-sex couples.","June 16, 2011"
Slovenia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"July 1, 2022",Infinite deferral for men who have sex with men,
Solomon Islands,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 9, 2018",5 to 14 years in prison. Not enforced.,"July 7, 1978"
Solomon Islands,marriage,13,Unrecognized,Unrecognized,"July 27, 2018",Homosexuality is illegal.,"July 7, 1978"
South Africa,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"August 27, 1998","The prescribed penalty was a fine of up to R4000 or imprisonment for up to two years, or both.","April 12, 1957"
South Africa,adoption,3,Legal,Legal,"April 1, 2010","Legal under the case of Du Toit v Minister of Welfare and Population Development, later made official through the Consolidated Children's Act of 2010","September 10, 2002"
