---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1975,male,10-14,000*-999*,39.12
1976,male,10-14,000*-999*,36.54
1977,male,10-14,000*-999*,37.31
1978,male,10-14,000*-999*,35.1
1979,male,10-14,000*-999*,35.66
1980,male,10-14,000*-999*,34.83
1981,male,10-14,000*-999*,34.07
1982,male,10-14,000*-999*,32.18
1983,male,10-14,000*-999*,32.03
1984,male,10-14,000*-999*,30.61
1985,male,10-14,000*-999*,29.84
1986,male,10-14,000*-999*,27.7
1987,male,10-14,000*-999*,26.58
1988,male,10-14,000*-999*,24.21
1989,male,10-14,000*-999*,24.25
1990,male,10-14,000*-999*,21.9
1991,male,10-14,000*-999*,23.26
1992,male,10-14,000*-999*,21.2
1993,male,10-14,000*-999*,21.4
1994,male,10-14,000*-999*,22.91
1995,male,10-14,000*-999*,19.99
1996,male,10-14,000*-999*,19.96
1997,male,10-14,000*-999*,18.22
1998,male,10-14,000*-999*,16.43
1999,male,10-14,000*-999*,16.35
1925,male,15-19,000*-999*,372.89
1926,male,15-19,000*-999*,379.92
1927,male,15-19,000*-999*,358.59
1928,male,15-19,000*-999*,352.14
1929,male,15-19,000*-999*,365.95
1930,male,15-19,000*-999*,338.56
1931,male,15-19,000*-999*,348.14
1932,male,15-19,000*-999*,328.18
1933,male,15-19,000*-999*,319.76
1934,male,15-19,000*-999*,285.87
1935,male,15-19,000*-999*,273.17
1936,male,15-19,000*-999*,250.1
1937,male,15-19,000*-999*,257.17
1938,male,15-19,000*-999*,253.98
1939,male,15-19,000*-999*,239.63
1940,male,15-19,000*-999*,333.46
1941,male,15-19,000*-999*,278.49
1942,male,15-19,000*-999*,278.4
1943,male,15-19,000*-999*,282.39
1944,male,15-19,000*-999*,686.98
1945,male,15-19,000*-999*,289.15
1946,male,15-19,000*-999*,186.86
1947,male,15-19,000*-999*,176.33
1948,male,15-19,000*-999*,138.42
1949,male,15-19,000*-999*,133
1950,male,15-19,000*-999*,119.48
1951,male,15-19,000*-999*,111.41
1952,male,15-19,000*-999*,107.53
1953,male,15-19,000*-999*,102.82
1954,male,15-19,000*-999*,98.67
1955,male,15-19,000*-999*,102.63
1956,male,15-19,000*-999*,99.13
1957,male,15-19,000*-999*,110.62
1958,male,15-19,000*-999*,96.26
1959,male,15-19,000*-999*,103.97
1960,male,15-19,000*-999*,87.43
1961,male,15-19,000*-999*,99.26
1962,male,15-19,000*-999*,94.23
1963,male,15-19,000*-999*,92.61
1964,male,15-19,000*-999*,95.67
1965,male,15-19,000*-999*,99.05
1966,male,15-19,000*-999*,102.62
1967,male,15-19,000*-999*,104.98
1968,male,15-19,000*-999*,112.01
1969,male,15-19,000*-999*,116.46
1970,male,15-19,000*-999*,117.24
1971,male,15-19,000*-999*,126.43
1972,male,15-19,000*-999*,127.11
1973,male,15-19,000*-999*,130.01
1974,male,15-19,000*-999*,124.28
1975,male,15-19,000*-999*,118.75
1976,male,15-19,000*-999*,122.43
1977,male,15-19,000*-999*,119.11
1978,male,15-19,000*-999*,116.42
1979,male,15-19,000*-999*,119.7
1980,male,15-19,000*-999*,119.14
1981,male,15-19,000*-999*,106.08
1982,male,15-19,000*-999*,105.78
1983,male,15-19,000*-999*,97.42
1984,male,15-19,000*-999*,91.31
1985,male,15-19,000*-999*,89.18
1986,male,15-19,000*-999*,85.5
1987,male,15-19,000*-999*,75.66
1988,male,15-19,000*-999*,79.24
1989,male,15-19,000*-999*,80.32
1990,male,15-19,000*-999*,79.52
1991,male,15-19,000*-999*,78.38
1992,male,15-19,000*-999*,74.78
1993,male,15-19,000*-999*,71.28
1994,male,15-19,000*-999*,68.28
1995,male,15-19,000*-999*,65.2
1996,male,15-19,000*-999*,65.99
1997,male,15-19,000*-999*,64.88
1998,male,15-19,000*-999*,60.64
1999,male,15-19,000*-999*,65.26
1925,male,20-24,000*-999*,604.33
1926,male,20-24,000*-999*,611.39
1927,male,20-24,000*-999*,555.29
1928,male,20-24,000*-999*,540.55
1929,male,20-24,000*-999*,568.04
1930,male,20-24,000*-999*,517.59
1931,male,20-24,000*-999*,528.35
1932,male,20-24,000*-999*,512.25
1933,male,20-24,000*-999*,461.33
1934,male,20-24,000*-999*,459.5
1935,male,20-24,000*-999*,475.83
1936,male,20-24,000*-999*,450.1
1937,male,20-24,000*-999*,435.49
1938,male,20-24,000*-999*,461.66
1939,male,20-24,000*-999*,404.33
1940,male,20-24,000*-999*,339.57
1941,male,20-24,000*-999*,358.9
1942,male,20-24,000*-999*,408.34
1943,male,20-24,000*-999*,424.21
1944,male,20-24,000*-999*,1149.34
1945,male,20-24,000*-999*,491.92
1946,male,20-24,000*-999*,302.73
1947,male,20-24,000*-999*,267.75
1948,male,20-24,000*-999*,225.55
1949,male,20-24,000*-999*,196.68
1950,male,20-24,000*-999*,178.53
1951,male,20-24,000*-999*,169.09
1952,male,20-24,000*-999*,160.92
1953,male,20-24,000*-999*,157.39
1954,male,20-24,000*-999*,149.91
1955,male,20-24,000*-999*,157
1956,male,20-24,000*-999*,140.08
1957,male,20-24,000*-999*,150.1
1958,male,20-24,000*-999*,139.14
1959,male,20-24,000*-999*,134.69
1960,male,20-24,000*-999*,126.47
1961,male,20-24,000*-999*,137.6
1962,male,20-24,000*-999*,133.96
1963,male,20-24,000*-999*,142.48
1964,male,20-24,000*-999*,151.02
1965,male,20-24,000*-999*,150.79
1966,male,20-24,000*-999*,153.47
1967,male,20-24,000*-999*,158.93
1968,male,20-24,000*-999*,155.64
1969,male,20-24,000*-999*,165.52
1970,male,20-24,000*-999*,161.75
1971,male,20-24,000*-999*,174.57
1972,male,20-24,000*-999*,186.02
1973,male,20-24,000*-999*,183.48
1974,male,20-24,000*-999*,172.35
1975,male,20-24,000*-999*,170.15
1976,male,20-24,000*-999*,184.28
1977,male,20-24,000*-999*,176.94
1978,male,20-24,000*-999*,170.86
1979,male,20-24,000*-999*,179.8
1980,male,20-24,000*-999*,185.66
1981,male,20-24,000*-999*,176.22
1982,male,20-24,000*-999*,176.34
1983,male,20-24,000*-999*,177.23
1984,male,20-24,000*-999*,173.71
1985,male,20-24,000*-999*,156.17
1986,male,20-24,000*-999*,158.04
1987,male,20-24,000*-999*,147.99
1988,male,20-24,000*-999*,150.81
1989,male,20-24,000*-999*,154.09
1990,male,20-24,000*-999*,151.77
1991,male,20-24,000*-999*,150.69
1992,male,20-24,000*-999*,141.79
1993,male,20-24,000*-999*,142.05
1994,male,20-24,000*-999*,134.82
1995,male,20-24,000*-999*,125.4
1996,male,20-24,000*-999*,118.66
1997,male,20-24,000*-999*,115.67
1998,male,20-24,000*-999*,112.53
1999,male,20-24,000*-999*,111.86
1925,male,25-29,000*-999*,602.21
1926,male,25-29,000*-999*,591.41
1927,male,25-29,000*-999*,565.48
1928,male,25-29,000*-999*,560.7
1929,male,25-29,000*-999*,584.79
1930,male,25-29,000*-999*,552.02
1931,male,25-29,000*-999*,544.06
1932,male,25-29,000*-999*,515.33
1933,male,25-29,000*-999*,498.18
1934,male,25-29,000*-999*,497.18
1935,male,25-29,000*-999*,486.14
1936,male,25-29,000*-999*,477.97
1937,male,25-29,000*-999*,486.74
1938,male,25-29,000*-999*,491.45
1939,male,25-29,000*-999*,448.13
1940,male,25-29,000*-999*,472.87
1941,male,25-29,000*-999*,517.66
1942,male,25-29,000*-999*,428.34
1943,male,25-29,000*-999*,501.46
1944,male,25-29,000*-999*,1124.42
1945,male,25-29,000*-999*,545.63
1946,male,25-29,000*-999*,346.45
1947,male,25-29,000*-999*,304.42
1948,male,25-29,000*-999*,268.88
1949,male,25-29,000*-999*,236.25
1950,male,25-29,000*-999*,226.15
1951,male,25-29,000*-999*,222.71
1952,male,25-29,000*-999*,190.87
1953,male,25-29,000*-999*,190.06
1954,male,25-29,000*-999*,180.92
1955,male,25-29,000*-999*,187.14
1956,male,25-29,000*-999*,178.87
1957,male,25-29,000*-999*,200.93
1958,male,25-29,000*-999*,184.32
1959,male,25-29,000*-999*,178.67
1960,male,25-29,000*-999*,161.08
1961,male,25-29,000*-999*,176.46
1962,male,25-29,000*-999*,163.36
1963,male,25-29,000*-999*,164.6
1964,male,25-29,000*-999*,169.18
1965,male,25-29,000*-999*,159.73
1966,male,25-29,000*-999*,166.79
1967,male,25-29,000*-999*,159.46
1968,male,25-29,000*-999*,156.74
1969,male,25-29,000*-999*,162.39
1970,male,25-29,000*-999*,158.48
1971,male,25-29,000*-999*,157.67
1972,male,25-29,000*-999*,160.27
1973,male,25-29,000*-999*,150.94
1974,male,25-29,000*-999*,145.28
1975,male,25-29,000*-999*,142.84
1976,male,25-29,000*-999*,148.54
1977,male,25-29,000*-999*,146.86
1978,male,25-29,000*-999*,145.11
1979,male,25-29,000*-999*,153.31
1980,male,25-29,000*-999*,156.09
1981,male,25-29,000*-999*,152.8
1982,male,25-29,000*-999*,156.85
1983,male,25-29,000*-999*,159.39
1984,male,25-29,000*-999*,158.57
1985,male,25-29,000*-999*,156.07
1986,male,25-29,000*-999*,151.33
1987,male,25-29,000*-999*,150.45
1988,male,25-29,000*-999*,149.12
1989,male,25-29,000*-999*,159.44
1990,male,25-29,000*-999*,163.25
1991,male,25-29,000*-999*,168.11
1992,male,25-29,000*-999*,164.15
1993,male,25-29,000*-999*,158.78
1994,male,25-29,000*-999*,156.84
1995,male,25-29,000*-999*,152.31
1996,male,25-29,000*-999*,135.08
1997,male,25-29,000*-999*,123
1998,male,25-29,000*-999*,118.72
1999,male,25-29,000*-999*,115.04
1925,male,30-34,000*-999*,687.01
1926,male,30-34,000*-999*,675.99
1927,male,30-34,000*-999*,645.72
1928,male,30-34,000*-999*,609.32
1929,male,30-34,000*-999*,657.14
1930,male,30-34,000*-999*,636.36
1931,male,30-34,000*-999*,613.55
1932,male,30-34,000*-999*,595.89
1933,male,30-34,000*-999*,598.7
1934,male,30-34,000*-999*,592.69
1935,male,30-34,000*-999*,619.92
1936,male,30-34,000*-999*,594.1
1937,male,30-34,000*-999*,602.76
1938,male,30-34,000*-999*,601.09
1939,male,30-34,000*-999*,557.23
1940,male,30-34,000*-999*,543.12
1941,male,30-34,000*-999*,568.58
1942,male,30-34,000*-999*,502.86
1943,male,30-34,000*-999*,507.95
1944,male,30-34,000*-999*,942.17
1945,male,30-34,000*-999*,501.99
1946,male,30-34,000*-999*,352.47
1947,male,30-34,000*-999*,337.57
1948,male,30-34,000*-999*,325.54
1949,male,30-34,000*-999*,283.35
1950,male,30-34,000*-999*,265.3
1951,male,30-34,000*-999*,260.41
1952,male,30-34,000*-999*,232.45
1953,male,30-34,000*-999*,235.07
1954,male,30-34,000*-999*,227.57
1955,male,30-34,000*-999*,227.88
1956,male,30-34,000*-999*,230.96
1957,male,30-34,000*-999*,232.58
1958,male,30-34,000*-999*,212.92
1959,male,30-34,000*-999*,213.29
1960,male,30-34,000*-999*,209.99
1961,male,30-34,000*-999*,213.71
1962,male,30-34,000*-999*,213.94
1963,male,30-34,000*-999*,203.86
1964,male,30-34,000*-999*,193.71
1965,male,30-34,000*-999*,201.35
1966,male,30-34,000*-999*,196.32
1967,male,30-34,000*-999*,193.69
1968,male,30-34,000*-999*,187.66
1969,male,30-34,000*-999*,195.17
1970,male,30-34,000*-999*,187.27
1971,male,30-34,000*-999*,183.91
1972,male,30-34,000*-999*,194.06
1973,male,30-34,000*-999*,181.32
1974,male,30-34,000*-999*,169.01
1975,male,30-34,000*-999*,162.13
1976,male,30-34,000*-999*,167.4
1977,male,30-34,000*-999*,162.84
1978,male,30-34,000*-999*,155.46
1979,male,30-34,000*-999*,163.43
1980,male,30-34,000*-999*,159.74
1981,male,30-34,000*-999*,164.1
1982,male,30-34,000*-999*,161.28
1983,male,30-34,000*-999*,171.06
1984,male,30-34,000*-999*,172.06
1985,male,30-34,000*-999*,167.57
1986,male,30-34,000*-999*,173.04
1987,male,30-34,000*-999*,168.71
1988,male,30-34,000*-999*,175.1
1989,male,30-34,000*-999*,180.78
1990,male,30-34,000*-999*,185.33
1991,male,30-34,000*-999*,196.73
1992,male,30-34,000*-999*,197.47
1993,male,30-34,000*-999*,199.45
1994,male,30-34,000*-999*,197.4
1995,male,30-34,000*-999*,191.53
1996,male,30-34,000*-999*,169.34
1997,male,30-34,000*-999*,146.38
1998,male,30-34,000*-999*,135.95
1999,male,30-34,000*-999*,130.51
1925,male,35-39,000*-999*,826.13
1926,male,35-39,000*-999*,822.68
1927,male,35-39,000*-999*,746.93
1928,male,35-39,000*-999*,738.89
1929,male,35-39,000*-999*,800.94
1930,male,35-39,000*-999*,780.99
1931,male,35-39,000*-999*,757.35
1932,male,35-39,000*-999*,727.14
1933,male,35-39,000*-999*,722.28
1934,male,35-39,000*-999*,761.94
1935,male,35-39,000*-999*,777.93
1936,male,35-39,000*-999*,750
1937,male,35-39,000*-999*,749.18
1938,male,35-39,000*-999*,785.11
1939,male,35-39,000*-999*,729.97
1940,male,35-39,000*-999*,744.44
1941,male,35-39,000*-999*,763.7
1942,male,35-39,000*-999*,623.15
1943,male,35-39,000*-999*,612.64
1944,male,35-39,000*-999*,977.29
1945,male,35-39,000*-999*,557.57
1946,male,35-39,000*-999*,413.73
1947,male,35-39,000*-999*,390.82
1948,male,35-39,000*-999*,387.61
1949,male,35-39,000*-999*,363.58
1950,male,35-39,000*-999*,351.68
1951,male,35-39,000*-999*,359.97
1952,male,35-39,000*-999*,328
1953,male,35-39,000*-999*,317.02
1954,male,35-39,000*-999*,319.54
1955,male,35-39,000*-999*,306.31
1956,male,35-39,000*-999*,304.11
1957,male,35-39,000*-999*,292.36
1958,male,35-39,000*-999*,273.34
1959,male,35-39,000*-999*,277.78
1960,male,35-39,000*-999*,271.2
1961,male,35-39,000*-999*,277.14
1962,male,35-39,000*-999*,290.2
1963,male,35-39,000*-999*,287.24
1964,male,35-39,000*-999*,283.93
1965,male,35-39,000*-999*,291.27
1966,male,35-39,000*-999*,282.9
1967,male,35-39,000*-999*,269.82
1968,male,35-39,000*-999*,277.61
1969,male,35-39,000*-999*,291.48
1970,male,35-39,000*-999*,273.15
1971,male,35-39,000*-999*,268.96
1972,male,35-39,000*-999*,270.78
1973,male,35-39,000*-999*,252.4
1974,male,35-39,000*-999*,254.03
1975,male,35-39,000*-999*,250.14
1976,male,35-39,000*-999*,248.89
1977,male,35-39,000*-999*,237.22
1978,male,35-39,000*-999*,226.64
1979,male,35-39,000*-999*,227.91
1980,male,35-39,000*-999*,223.73
1981,male,35-39,000*-999*,220.1
1982,male,35-39,000*-999*,222.23
1983,male,35-39,000*-999*,224.76
1984,male,35-39,000*-999*,220.5
1985,male,35-39,000*-999*,219.68
1986,male,35-39,000*-999*,220.46
1987,male,35-39,000*-999*,223.68
1988,male,35-39,000*-999*,225.09
1989,male,35-39,000*-999*,228.44
1990,male,35-39,000*-999*,239.87
1991,male,35-39,000*-999*,241.28
1992,male,35-39,000*-999*,245.56
1993,male,35-39,000*-999*,252.98
1994,male,35-39,000*-999*,246.47
1995,male,35-39,000*-999*,241.19
1996,male,35-39,000*-999*,223.61
1997,male,35-39,000*-999*,201.69
1998,male,35-39,000*-999*,193.79
1999,male,35-39,000*-999*,177.78
1925,male,40-44,000*-999*,1072.91
1926,male,40-44,000*-999*,1050.89
1927,male,40-44,000*-999*,952.26
1928,male,40-44,000*-999*,950.96
1929,male,40-44,000*-999*,1031.03
1930,male,40-44,000*-999*,980.77
1931,male,40-44,000*-999*,949.69
1932,male,40-44,000*-999*,929.95
1933,male,40-44,000*-999*,952.14
1934,male,40-44,000*-999*,950.99
1935,male,40-44,000*-999*,1005.86
1936,male,40-44,000*-999*,983.61
1937,male,40-44,000*-999*,957.48
1938,male,40-44,000*-999*,1008.96
1939,male,40-44,000*-999*,958.02
1940,male,40-44,000*-999*,1023.18
1941,male,40-44,000*-999*,1041.97
1942,male,40-44,000*-999*,885.35
1943,male,40-44,000*-999*,828.32
1944,male,40-44,000*-999*,1150.39
1945,male,40-44,000*-999*,721.75
1946,male,40-44,000*-999*,555.08
1947,male,40-44,000*-999*,536.17
1948,male,40-44,000*-999*,570.09
1949,male,40-44,000*-999*,535.21
1950,male,40-44,000*-999*,521.29
1951,male,40-44,000*-999*,537.32
1952,male,40-44,000*-999*,479.81
1953,male,40-44,000*-999*,485.42
1954,male,40-44,000*-999*,465.66
1955,male,40-44,000*-999*,461.11
1956,male,40-44,000*-999*,489.77
1957,male,40-44,000*-999*,466.9
1958,male,40-44,000*-999*,417.65
1959,male,40-44,000*-999*,412.73
1960,male,40-44,000*-999*,387.33
1961,male,40-44,000*-999*,402.71
1962,male,40-44,000*-999*,414.06
1963,male,40-44,000*-999*,415.31
1964,male,40-44,000*-999*,406.46
1965,male,40-44,000*-999*,426.24
1966,male,40-44,000*-999*,422.01
1967,male,40-44,000*-999*,419.6
1968,male,40-44,000*-999*,429.91
1969,male,40-44,000*-999*,438.45
1970,male,40-44,000*-999*,417.72
1971,male,40-44,000*-999*,433.36
1972,male,40-44,000*-999*,429.97
1973,male,40-44,000*-999*,429.13
1974,male,40-44,000*-999*,418.25
1975,male,40-44,000*-999*,421.36
1976,male,40-44,000*-999*,408.63
1977,male,40-44,000*-999*,395.27
1978,male,40-44,000*-999*,381.48
1979,male,40-44,000*-999*,375.04
1980,male,40-44,000*-999*,369.47
1981,male,40-44,000*-999*,353.2
1982,male,40-44,000*-999*,352.07
1983,male,40-44,000*-999*,343.76
1984,male,40-44,000*-999*,338.35
1985,male,40-44,000*-999*,336.54
1986,male,40-44,000*-999*,337.87
1987,male,40-44,000*-999*,324.15
1988,male,40-44,000*-999*,323.75
1989,male,40-44,000*-999*,325.38
1990,male,40-44,000*-999*,329.03
1991,male,40-44,000*-999*,341.33
1992,male,40-44,000*-999*,340.28
1993,male,40-44,000*-999*,340.98
1994,male,40-44,000*-999*,336.24
1995,male,40-44,000*-999*,336.84
1996,male,40-44,000*-999*,327.97
1997,male,40-44,000*-999*,305.5
1998,male,40-44,000*-999*,299.11
1999,male,40-44,000*-999*,295.44
1925,male,45-49,000*-999*,1351.93
1926,male,45-49,000*-999*,1323.23
1927,male,45-49,000*-999*,1206.46
1928,male,45-49,000*-999*,1195.54
1929,male,45-49,000*-999*,1338.19
1930,male,45-49,000*-999*,1284.52
1931,male,45-49,000*-999*,1229.5
1932,male,45-49,000*-999*,1219.97
1933,male,45-49,000*-999*,1267.67
1934,male,45-49,000*-999*,1240.05
1935,male,45-49,000*-999*,1301.86
1936,male,45-49,000*-999*,1247.95
1937,male,45-49,000*-999*,1248.46
1938,male,45-49,000*-999*,1265.07
1939,male,45-49,000*-999*,1251.73
1940,male,45-49,000*-999*,1397.02
1941,male,45-49,000*-999*,1404.01
1942,male,45-49,000*-999*,1234.91
1943,male,45-49,000*-999*,1100.48
1944,male,45-49,000*-999*,1438.62
1945,male,45-49,000*-999*,983.41
1946,male,45-49,000*-999*,791.35
1947,male,45-49,000*-999*,810.49
1948,male,45-49,000*-999*,835.39
1949,male,45-49,000*-999*,808.41
1950,male,45-49,000*-999*,801.83
1951,male,45-49,000*-999*,829.62
1952,male,45-49,000*-999*,766.99
1953,male,45-49,000*-999*,797.14
1954,male,45-49,000*-999*,768.9
1955,male,45-49,000*-999*,743.52
1956,male,45-49,000*-999*,761.32
1957,male,45-49,000*-999*,732.01
1958,male,45-49,000*-999*,631.07
1959,male,45-49,000*-999*,650.57
1960,male,45-49,000*-999*,651.92
1961,male,45-49,000*-999*,653.25
1962,male,45-49,000*-999*,675.46
1963,male,45-49,000*-999*,681.52
1964,male,45-49,000*-999*,632.06
1965,male,45-49,000*-999*,641.38
1966,male,45-49,000*-999*,630.64
1967,male,45-49,000*-999*,659.17
1968,male,45-49,000*-999*,661.19
1969,male,45-49,000*-999*,678.31
1970,male,45-49,000*-999*,625.47
1971,male,45-49,000*-999*,649.65
1972,male,45-49,000*-999*,659.41
1973,male,45-49,000*-999*,655.31
1974,male,45-49,000*-999*,662.25
1975,male,45-49,000*-999*,674.24
1976,male,45-49,000*-999*,677.61
1977,male,45-49,000*-999*,665.57
1978,male,45-49,000*-999*,662.81
1979,male,45-49,000*-999*,637.13
1980,male,45-49,000*-999*,625.75
1981,male,45-49,000*-999*,601.51
1982,male,45-49,000*-999*,590.52
1983,male,45-49,000*-999*,577.81
1984,male,45-49,000*-999*,556.86
1985,male,45-49,000*-999*,553
1986,male,45-49,000*-999*,533.24
1987,male,45-49,000*-999*,507.73
1988,male,45-49,000*-999*,492.48
1989,male,45-49,000*-999*,488.99
1990,male,45-49,000*-999*,487.84
1991,male,45-49,000*-999*,482.91
1992,male,45-49,000*-999*,483.85
1993,male,45-49,000*-999*,477.54
1994,male,45-49,000*-999*,484.82
1995,male,45-49,000*-999*,480.51
1996,male,45-49,000*-999*,461.6
1997,male,45-49,000*-999*,460.85
1998,male,45-49,000*-999*,460.93
1999,male,45-49,000*-999*,459.05
1925,male,50-54,000*-999*,1768.22
1926,male,50-54,000*-999*,1729.28
1927,male,50-54,000*-999*,1605.94
1928,male,50-54,000*-999*,1593.96
1929,male,50-54,000*-999*,1782.75
1930,male,50-54,000*-999*,1679.85
1931,male,50-54,000*-999*,1671.82
1932,male,50-54,000*-999*,1648.63
1933,male,50-54,000*-999*,1669.19
1934,male,50-54,000*-999*,1675.72
1935,male,50-54,000*-999*,1746.3
1936,male,50-54,000*-999*,1699.58
1937,male,50-54,000*-999*,1686.76
1938,male,50-54,000*-999*,1735.03
1939,male,50-54,000*-999*,1694.96
1940,male,50-54,000*-999*,1991.22
1941,male,50-54,000*-999*,1940.25
1942,male,50-54,000*-999*,1701.68
1943,male,50-54,000*-999*,1499.67
1944,male,50-54,000*-999*,1840.87
1945,male,50-54,000*-999*,1374.05
1946,male,50-54,000*-999*,1147.73
1947,male,50-54,000*-999*,1158.64
1948,male,50-54,000*-999*,1206.01
1949,male,50-54,000*-999*,1217.83
1950,male,50-54,000*-999*,1226.31
1951,male,50-54,000*-999*,1267.7
1952,male,50-54,000*-999*,1200.78
1953,male,50-54,000*-999*,1241.13
1954,male,50-54,000*-999*,1194.59
1955,male,50-54,000*-999*,1181.03
1956,male,50-54,000*-999*,1225
1957,male,50-54,000*-999*,1185.36
1958,male,50-54,000*-999*,1048.22
1959,male,50-54,000*-999*,1066.05
1960,male,50-54,000*-999*,1092.05
1961,male,50-54,000*-999*,1034.27
1962,male,50-54,000*-999*,1069.48
1963,male,50-54,000*-999*,1070.24
1964,male,50-54,000*-999*,1011.76
1965,male,50-54,000*-999*,1057.55
1966,male,50-54,000*-999*,1025.85
1967,male,50-54,000*-999*,1032.09
1968,male,50-54,000*-999*,1028.74
1969,male,50-54,000*-999*,1033.74
1970,male,50-54,000*-999*,942.04
1971,male,50-54,000*-999*,969.52
1972,male,50-54,000*-999*,969.43
1973,male,50-54,000*-999*,966.77
1974,male,50-54,000*-999*,981.56
1975,male,50-54,000*-999*,1010.12
1976,male,50-54,000*-999*,1013.93
1977,male,50-54,000*-999*,980.11
1978,male,50-54,000*-999*,971.19
1979,male,50-54,000*-999*,988.65
1980,male,50-54,000*-999*,975.34
1981,male,50-54,000*-999*,970.56
1982,male,50-54,000*-999*,946.24
1983,male,50-54,000*-999*,939.67
1984,male,50-54,000*-999*,908.68
1985,male,50-54,000*-999*,892.95
1986,male,50-54,000*-999*,877.88
1987,male,50-54,000*-999*,832.02
1988,male,50-54,000*-999*,797.01
1989,male,50-54,000*-999*,790.02
1990,male,50-54,000*-999*,747.1
1991,male,50-54,000*-999*,723.32
1992,male,50-54,000*-999*,714.59
1993,male,50-54,000*-999*,691.19
1994,male,50-54,000*-999*,695.27
1995,male,50-54,000*-999*,684.44
1996,male,50-54,000*-999*,676.84
1997,male,50-54,000*-999*,655.25
1998,male,50-54,000*-999*,649.37
1999,male,50-54,000*-999*,650.39
1925,male,55-59,000*-999*,2410.61
1926,male,55-59,000*-999*,2366.36
1927,male,55-59,000*-999*,2169.9
1928,male,55-59,000*-999*,2179.98
1929,male,55-59,000*-999*,2386.42
1930,male,55-59,000*-999*,2252.51
1931,male,55-59,000*-999*,2312.79
1932,male,55-59,000*-999*,2279.12
1933,male,55-59,000*-999*,2333.55
1934,male,55-59,000*-999*,2300.15
1935,male,55-59,000*-999*,2402.95
1936,male,55-59,000*-999*,2300.2
1937,male,55-59,000*-999*,2287.67
1938,male,55-59,000*-999*,2385.3
1939,male,55-59,000*-999*,2341.02
1940,male,55-59,000*-999*,2726.12
1941,male,55-59,000*-999*,2620.23
1942,male,55-59,000*-999*,2397.24
1943,male,55-59,000*-999*,2124.48
1944,male,55-59,000*-999*,2451.26
1945,male,55-59,000*-999*,1959.66
1946,male,55-59,000*-999*,1683.14
1947,male,55-59,000*-999*,1680.7
1948,male,55-59,000*-999*,1703
1949,male,55-59,000*-999*,1766.72
1950,male,55-59,000*-999*,1771.48
1951,male,55-59,000*-999*,1849.52
1952,male,55-59,000*-999*,1768.71
1953,male,55-59,000*-999*,1853.05
1954,male,55-59,000*-999*,1758.42
1955,male,55-59,000*-999*,1771.3
1956,male,55-59,000*-999*,1835.2
1957,male,55-59,000*-999*,1808.92
1958,male,55-59,000*-999*,1647.05
1959,male,55-59,000*-999*,1665.91
1960,male,55-59,000*-999*,1685.87
1961,male,55-59,000*-999*,1634.35
1962,male,55-59,000*-999*,1692.22
1963,male,55-59,000*-999*,1745.78
1964,male,55-59,000*-999*,1619.7
1965,male,55-59,000*-999*,1666.2
1966,male,55-59,000*-999*,1605.38
1967,male,55-59,000*-999*,1618.19
1968,male,55-59,000*-999*,1582.11
1969,male,55-59,000*-999*,1632.41
1970,male,55-59,000*-999*,1499.66
1971,male,55-59,000*-999*,1534.72
1972,male,55-59,000*-999*,1535.59
1973,male,55-59,000*-999*,1504.1
1974,male,55-59,000*-999*,1473.52
1975,male,55-59,000*-999*,1432.55
1976,male,55-59,000*-999*,1451.27
1977,male,55-59,000*-999*,1403.03
1978,male,55-59,000*-999*,1399.18
1979,male,55-59,000*-999*,1407.86
1980,male,55-59,000*-999*,1382.76
1981,male,55-59,000*-999*,1373.32
1982,male,55-59,000*-999*,1379.4
1983,male,55-59,000*-999*,1374.14
1984,male,55-59,000*-999*,1370.8
1985,male,55-59,000*-999*,1363.09
1986,male,55-59,000*-999*,1318
1987,male,55-59,000*-999*,1265.43
1988,male,55-59,000*-999*,1245.9
1989,male,55-59,000*-999*,1206.16
1990,male,55-59,000*-999*,1153.66
1991,male,55-59,000*-999*,1116.82
1992,male,55-59,000*-999*,1078.11
1993,male,55-59,000*-999*,1069.39
1994,male,55-59,000*-999*,1035.67
1995,male,55-59,000*-999*,1003.53
1996,male,55-59,000*-999*,994.97
1997,male,55-59,000*-999*,962.16
1998,male,55-59,000*-999*,937.4
1999,male,55-59,000*-999*,922.6
1925,male,60-64,000*-999*,3478.37
1926,male,60-64,000*-999*,3417.61
1927,male,60-64,000*-999*,3193.8
1928,male,60-64,000*-999*,3221.03
1929,male,60-64,000*-999*,3504.11
1930,male,60-64,000*-999*,3225.43
1931,male,60-64,000*-999*,3286.18
1932,male,60-64,000*-999*,3218.23
1933,male,60-64,000*-999*,3257.64
1934,male,60-64,000*-999*,3225.52
1935,male,60-64,000*-999*,3380.01
1936,male,60-64,000*-999*,3315.65
