"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"61 years"	"61"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	879	10291022	8.5
	"61 years"	"61"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	404	10962352	3.7
	"61 years"	"61"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	588	10291022	5.7
	"61 years"	"61"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	3251	10962352	29.7
	"61 years"	"61"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	4059	10291022	39.4
	"61 years"	"61"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	329	10962352	3.0
	"61 years"	"61"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	476	10291022	4.6
	"62 years"	"62"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	30526	10780852	283.2
	"62 years"	"62"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	36663	10047671	364.9
	"62 years"	"62"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	376	10780852	3.5
	"62 years"	"62"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	1303	10047671	13.0
	"62 years"	"62"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	392	10780852	3.6
	"62 years"	"62"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	1888	10047671	18.8
	"62 years"	"62"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	438	10780852	4.1
	"62 years"	"62"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	793	10047671	7.9
	"62 years"	"62"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	2388	10780852	22.2
	"62 years"	"62"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	3615	10047671	36.0
	"62 years"	"62"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	1153	10780852	10.7
	"62 years"	"62"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	3234	10047671	32.2
	"62 years"	"62"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	2203	10780852	20.4
	"62 years"	"62"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	3134	10047671	31.2
	"62 years"	"62"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Female"	"F"	144	10780852	1.3
	"62 years"	"62"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Male"	"M"	518	10047671	5.2
	"62 years"	"62"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	7776	10780852	72.1
	"62 years"	"62"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	9362	10047671	93.2
	"62 years"	"62"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	289	10780852	2.7
	"62 years"	"62"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	526	10047671	5.2
	"62 years"	"62"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	4704	10780852	43.6
	"62 years"	"62"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Male"	"M"	43	10047671	0.4
	"62 years"	"62"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	455	10780852	4.2
	"62 years"	"62"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	1633	10780852	15.1
	"62 years"	"62"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	1657	10780852	15.4
	"62 years"	"62"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"Male"	"M"	2020	10047671	20.1
	"62 years"	"62"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	490	10780852	4.5
	"62 years"	"62"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	1087	10047671	10.8
	"62 years"	"62"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	284	10780852	2.6
	"62 years"	"62"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	834	10047671	8.3
	"62 years"	"62"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	960	10780852	8.9
	"62 years"	"62"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	1296	10047671	12.9
	"62 years"	"62"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	1667	10780852	15.5
	"62 years"	"62"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	2647	10047671	26.3
	"62 years"	"62"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	37	10780852	0.3
	"62 years"	"62"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	44	10047671	0.4
	"62 years"	"62"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	569	10780852	5.3
	"62 years"	"62"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	1016	10047671	10.1
	"62 years"	"62"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	603	10780852	5.6
	"62 years"	"62"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	970	10047671	9.7
	"62 years"	"62"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	452	10780852	4.2
	"62 years"	"62"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	612	10047671	6.1
	"62 years"	"62"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	3517	10780852	32.6
	"62 years"	"62"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	4363	10047671	43.4
	"62 years"	"62"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	387	10780852	3.6
	"62 years"	"62"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	521	10047671	5.2
	"63 years"	"63"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	32141	10616684	302.7
	"63 years"	"63"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	39634	9820522	403.6
	"63 years"	"63"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	404	10616684	3.8
	"63 years"	"63"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	1270	9820522	12.9
	"63 years"	"63"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	429	10616684	4.0
	"63 years"	"63"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	1986	9820522	20.2
	"63 years"	"63"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	454	10616684	4.3
	"63 years"	"63"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	824	9820522	8.4
	"63 years"	"63"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	2381	10616684	22.4
	"63 years"	"63"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	3686	9820522	37.5
	"63 years"	"63"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	1248	10616684	11.8
	"63 years"	"63"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	3519	9820522	35.8
	"63 years"	"63"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	2565	10616684	24.2
	"63 years"	"63"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	3383	9820522	34.4
	"63 years"	"63"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Female"	"F"	114	10616684	1.1
	"63 years"	"63"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Male"	"M"	484	9820522	4.9
	"63 years"	"63"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	8145	10616684	76.7
	"63 years"	"63"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	10326	9820522	105.1
	"63 years"	"63"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	319	10616684	3.0
	"63 years"	"63"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	614	9820522	6.3
	"63 years"	"63"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	4793	10616684	45.1
	"63 years"	"63"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Male"	"M"	57	9820522	0.6
	"63 years"	"63"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	513	10616684	4.8
	"63 years"	"63"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	1700	10616684	16.0
	"63 years"	"63"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	1812	10616684	17.1
	"63 years"	"63"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"Male"	"M"	2306	9820522	23.5
	"63 years"	"63"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	500	10616684	4.7
	"63 years"	"63"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	1248	9820522	12.7
	"63 years"	"63"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	290	10616684	2.7
	"63 years"	"63"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	926	9820522	9.4
	"63 years"	"63"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	935	10616684	8.8
	"63 years"	"63"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	1412	9820522	14.4
	"63 years"	"63"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	1880	10616684	17.7
	"63 years"	"63"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	2949	9820522	30.0
	"63 years"	"63"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	38	10616684	0.4
	"63 years"	"63"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	58	9820522	0.6
	"63 years"	"63"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	670	10616684	6.3
	"63 years"	"63"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	1078	9820522	11.0
	"63 years"	"63"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	670	10616684	6.3
	"63 years"	"63"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	1104	9820522	11.2
	"63 years"	"63"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	500	10616684	4.7
	"63 years"	"63"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	700	9820522	7.1
	"63 years"	"63"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	3659	10616684	34.5
	"63 years"	"63"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	4644	9820522	47.3
	"63 years"	"63"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	445	10616684	4.2
	"63 years"	"63"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	608	9820522	6.2
	"64 years"	"64"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	33776	10396730	324.9
	"64 years"	"64"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	41521	9538979	435.3
	"64 years"	"64"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	398	10396730	3.8
	"64 years"	"64"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	1294	9538979	13.6
	"64 years"	"64"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	435	10396730	4.2
	"64 years"	"64"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	2080	9538979	21.8
	"64 years"	"64"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	431	10396730	4.1
	"64 years"	"64"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	912	9538979	9.6
	"64 years"	"64"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	2609	10396730	25.1
	"64 years"	"64"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	3800	9538979	39.8
	"64 years"	"64"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	1285	10396730	12.4
	"64 years"	"64"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	3673	9538979	38.5
	"64 years"	"64"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	2714	10396730	26.1
	"64 years"	"64"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	3512	9538979	36.8
	"64 years"	"64"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Female"	"F"	127	10396730	1.2
	"64 years"	"64"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Male"	"M"	537	9538979	5.6
	"64 years"	"64"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	8550	10396730	82.2
	"64 years"	"64"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	10775	9538979	113.0
	"64 years"	"64"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	309	10396730	3.0
	"64 years"	"64"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	601	9538979	6.3
	"64 years"	"64"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	5029	10396730	48.4
	"64 years"	"64"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Male"	"M"	46	9538979	0.5
	"64 years"	"64"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	480	10396730	4.6
	"64 years"	"64"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	1918	10396730	18.4
	"64 years"	"64"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	1790	10396730	17.2
	"64 years"	"64"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"Male"	"M"	2524	9538979	26.5
	"64 years"	"64"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	527	10396730	5.1
	"64 years"	"64"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	1299	9538979	13.6
	"64 years"	"64"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	357	10396730	3.4
	"64 years"	"64"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	1035	9538979	10.9
	"64 years"	"64"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	1027	10396730	9.9
	"64 years"	"64"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	1471	9538979	15.4
	"64 years"	"64"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	1960	10396730	18.9
	"64 years"	"64"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	3103	9538979	32.5
	"64 years"	"64"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	36	10396730	0.3
	"64 years"	"64"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	56	9538979	0.6
	"64 years"	"64"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	628	10396730	6.0
	"64 years"	"64"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	1119	9538979	11.7
	"64 years"	"64"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	734	10396730	7.1
	"64 years"	"64"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	1160	9538979	12.2
	"64 years"	"64"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	558	10396730	5.4
	"64 years"	"64"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	758	9538979	7.9
	"64 years"	"64"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"Male"	"M"	10	9538979	Unreliable
	"64 years"	"64"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	3830	10396730	36.8
	"64 years"	"64"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	4859	9538979	50.9
	"64 years"	"64"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	437	10396730	4.2
	"64 years"	"64"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	579	9538979	6.1
	"65 years"	"65"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	34615	10104429	342.6
	"65 years"	"65"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	42985	9185985	467.9
	"65 years"	"65"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	420	10104429	4.2
	"65 years"	"65"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	1283	9185985	14.0
	"65 years"	"65"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	447	10104429	4.4
	"65 years"	"65"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	2022	9185985	22.0
	"65 years"	"65"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	498	10104429	4.9
	"65 years"	"65"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	870	9185985	9.5
	"65 years"	"65"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	2544	10104429	25.2
	"65 years"	"65"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	3823	9185985	41.6
	"65 years"	"65"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	1403	10104429	13.9
	"65 years"	"65"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	3836	9185985	41.8
	"65 years"	"65"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	2696	10104429	26.7
	"65 years"	"65"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	3705	9185985	40.3
	"65 years"	"65"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Female"	"F"	131	10104429	1.3
	"65 years"	"65"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"Male"	"M"	562	9185985	6.1
	"65 years"	"65"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	8781	10104429	86.9
	"65 years"	"65"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	11124	9185985	121.1
	"65 years"	"65"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	304	10104429	3.0
	"65 years"	"65"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	633	9185985	6.9
	"65 years"	"65"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	5131	10104429	50.8
	"65 years"	"65"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Male"	"M"	59	9185985	0.6
	"65 years"	"65"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	479	10104429	4.7
	"65 years"	"65"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	1905	10104429	18.9
	"65 years"	"65"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	1862	10104429	18.4
	"65 years"	"65"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"Male"	"M"	2843	9185985	30.9
	"65 years"	"65"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	543	10104429	5.4
	"65 years"	"65"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	1273	9185985	13.9
	"65 years"	"65"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	364	10104429	3.6
	"65 years"	"65"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	1086	9185985	11.8
	"65 years"	"65"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	972	10104429	9.6
	"65 years"	"65"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	1438	9185985	15.7
	"65 years"	"65"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	2081	10104429	20.6
	"65 years"	"65"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	3319	9185985	36.1
	"65 years"	"65"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	39	10104429	0.4
	"65 years"	"65"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	51	9185985	0.6
	"65 years"	"65"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	701	10104429	6.9
	"65 years"	"65"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	1166	9185985	12.7
	"65 years"	"65"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	808	10104429	8.0
	"65 years"	"65"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	1273	9185985	13.9
	"65 years"	"65"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	530	10104429	5.2
	"65 years"	"65"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	817	9185985	8.9
	"65 years"	"65"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"Male"	"M"	12	9185985	Unreliable
	"65 years"	"65"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	4054	10104429	40.1
	"65 years"	"65"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	5109	9185985	55.6
	"65 years"	"65"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	524	10104429	5.2
	"65 years"	"65"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	637	9185985	6.9
	"66 years"	"66"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	35490	9744036	364.2
	"66 years"	"66"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	44462	8778585	506.5
	"66 years"	"66"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	387	9744036	4.0
	"66 years"	"66"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	1295	8778585	14.8
	"66 years"	"66"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	454	9744036	4.7
	"66 years"	"66"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	2180	8778585	24.8
	"66 years"	"66"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	459	9744036	4.7
	"66 years"	"66"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	891	8778585	10.1
	"66 years"	"66"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	2711	9744036	27.8
	"66 years"	"66"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	3856	8778585	43.9
	"66 years"	"66"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	1412	9744036	14.5
	"66 years"	"66"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	4012	8778585	45.7
	"66 years"	"66"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	2959	9744036	30.4
