"title","Metric Dropdown","Poverty line Dropdown","Household survey data type Radio","Show extrapolated estimates for years with no survey data Checkbox","tableSlug","ySlugs","yAxisMin"
"Total annual shortfall to a poverty line of $40 a day","Total shortfall to poverty line, per year","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $40 a day","Income gap ratio","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___income_gap_ratio",0
"Poverty gap index at $40 a day","Poverty gap index","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___poverty_gap_index",0
"Relative poverty: Share of population living on less than 40% of median consumption","Share in poverty","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 40% of median consumption","Number of people in poverty","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 40% of median consumption","Average shortfall to poverty line, per day","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 40% of median consumption","Average shortfall to poverty line, per year","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 40% of median consumption","Total shortfall to poverty line, per day","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 40% of median consumption","Total shortfall to poverty line, per year","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 40% of median consumption","Income gap ratio","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___income_gap_ratio",0
"Poverty gap index at 40% of median consumption","Poverty gap index","Relative line: 40% of median","Consumption only","'false","Consumption_only","X_40__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 50% of median consumption","Share in poverty","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 50% of median consumption","Number of people in poverty","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 50% of median consumption","Average shortfall to poverty line, per day","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 50% of median consumption","Average shortfall to poverty line, per year","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 50% of median consumption","Total shortfall to poverty line, per day","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 50% of median consumption","Total shortfall to poverty line, per year","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 50% of median consumption","Income gap ratio","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___income_gap_ratio",0
"Poverty gap index at 50% of median consumption","Poverty gap index","Relative line: 50% of median","Consumption only","'false","Consumption_only","X_50__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 60% of median consumption","Share in poverty","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 60% of median consumption","Number of people in poverty","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 60% of median consumption","Average shortfall to poverty line, per day","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 60% of median consumption","Average shortfall to poverty line, per year","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 60% of median consumption","Total shortfall to poverty line, per day","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 60% of median consumption","Total shortfall to poverty line, per year","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 60% of median consumption","Income gap ratio","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___income_gap_ratio",0
"Poverty gap index at 60% of median consumption","Poverty gap index","Relative line: 60% of median","Consumption only","'false","Consumption_only","X_60__of_median_income___poverty_gap_index",0
